# SuperDARN MSTID Index Datafile - Reduced Index
# Generated by Nathaniel Frissell, nathaniel.frissell@scranton.edu
# Generated on: 2023-04-23 03:20:17.663099 UTC
#
# Parameter: reject_code_reducedIndex
#
# Original Attributes:
# {'season': '20121101_20130501', 'radar': 'pgr', 'lat': 58.0, 'lon': -123.5}
# {'season': '20121101_20130501', 'radar': 'sas', 'lat': 56.1, 'lon': -103.8}
# {'season': '20121101_20130501', 'radar': 'kap', 'lat': 55.5, 'lon': -85.0}
# {'season': '20121101_20130501', 'radar': 'gbr', 'lat': 58.4, 'lon': -59.9}
# {'season': '20121101_20130501', 'radar': 'cvw', 'lat': 47.9, 'lon': -123.4}
# {'season': '20121101_20130501', 'radar': 'cve', 'lat': 46.4, 'lon': -114.6}
# {'season': '20121101_20130501', 'radar': 'fhw', 'lat': 43.3, 'lon': -102.7}
# {'season': '20121101_20130501', 'radar': 'fhe', 'lat': 42.5, 'lon': -95.0}
# {'season': '20121101_20130501', 'radar': 'bks', 'lat': 39.6, 'lon': -81.1}
# {'season': '20121101_20130501', 'radar': 'wal', 'lat': 41.8, 'lon': -72.2}
#
# Reduction Attributes:
# ('reduction_type', 'mean')
# ('zscore', True)
# ('daily_vals', True)
# ('smoothing_window', '4D')
# ('smoothing_type', 'mean')
#
,reduced_index,n_good_df,smoothed
2012-11-01,2.3765165369314127,60,1.1367395153593367
2012-11-02,0.8612335105655418,60,0.9301100117639906
2012-11-03,0.17246849858105548,60,0.3446597515771768
2012-11-04,0.31022150097795237,60,0.17246849858105523
2012-11-05,0.03471549618415769,60,0.2757832503787281
2012-11-06,0.17246849858105548,60,0.27578325037872814
2012-11-07,0.585727505771747,60,0.3446597515771768
2012-11-08,0.31022150097795237,60,0.07776330943318793
2012-11-09,0.31022150097795237,60,0.008886808234739266
2012-11-10,-0.8951172699948999,60,-0.12886619416215808
2012-11-11,0.31022150097795237,60,0.07776330943318793
2012-11-12,-0.240790508609637,60,0.5512892551725226
2012-11-13,1.1367395153593365,60,0.4824127539740739
2012-11-14,0.9989865129624387,60,0.5168510045732985
2012-11-15,0.03471549618415769,60,0.172468498581055
2012-11-16,-0.10303750621273919,60,-0.13747575681196392
2012-11-17,-0.240790508609637,60,-0.10303750621273948
2012-11-18,-0.240790508609637,60,0.10359199738260631
2012-11-19,0.17246849858105548,60,0.34465975157717654
2012-11-20,0.723480508168644,60,0.48241275397407385
2012-11-21,0.723480508168644,59,0.5168510045732981
2012-11-22,0.31022150097795237,60,0.4824127539740739
2012-11-23,0.31022150097795237,60,0.379098002176401
2012-11-24,0.585727505771747,60,0.34465975157717677
2012-11-25,0.31022150097795237,60,0.379098002176401
2012-11-26,0.17246849858105548,60,0.379098002176401
2012-11-27,0.44797450337484923,60,0.34465975157717677
2012-11-28,0.585727505771747,60,0.31022150097795226
2012-11-29,0.17246849858105548,60,0.28439281302853414
2012-11-30,0.03471549618415769,60,0.2499545624293097
2012-12-01,0.3446597515771766,60,0.3532693142269826
2012-12-02,0.44797450337484923,60,0.4221458154254313
2012-12-03,0.585727505771747,60,0.34465975157717654
2012-12-04,0.31022150097795237,60,0.20690674918027918
2012-12-05,0.03471549618415769,60,0.11220156003241213
2012-12-06,-0.10303750621274012,60,0.14663981063163634
2012-12-07,0.2069067491802788,60,0.35326931422698216
2012-12-08,0.44797450337484923,60,0.4565840660246553
2012-12-09,0.8612335105655409,60,0.422145815425431
2012-12-10,0.31022150097795237,60,0.38770756482620683
2012-12-11,0.0691537467833819,60,0.18107806123086104
2012-12-12,0.31022150097795237,60,0.14663981063163659
2012-12-13,0.03471549618415769,60,0.17246849858105498
2012-12-14,0.17246849858105456,60,0.0691537467833821
2012-12-15,0.17246849858105548,60,0.3532693142269828
2012-12-16,-0.10303750621273919,60,0.3188310636277586
2012-12-17,1.1711777659585607,60,0.3618788768767889
2012-12-18,0.03471549618415769,60,0.5340701298729102
2012-12-19,0.3446597515771766,60,0.18968762388066687
2012-12-20,0.5857275057717461,60,0.327440626277564
2012-12-21,-0.20635225801041276,60,0.42214581542543106
2012-12-22,0.5857275057717461,60,0.4910223166238802
2012-12-23,0.7234805081686448,60,0.56112875534373
2012-12-24,0.8612335105655426,60,0.6644435071414035
2012-12-25,0.07407349686898629,61,0.6988817577406278
2012-12-26,0.9989865129624405,60,0.6730530697912094
2012-12-27,0.8612335105655418,60,0.8009665720168996
2012-12-28,0.7579187587678691,60,0.663213569620002
2012-12-29,0.585727505771747,60,0.6976518202192263
2012-12-30,0.4479745033748502,60,0.6546040069701959
2012-12-31,0.9989865129624396,60,0.6546040069701959
2013-01-01,0.585727505771747,60,0.6890422575694202
2013-01-02,0.585727505771747,60,0.6546040069701957
2013-01-03,0.585727505771747,60,0.6890422575694202
2013-01-04,0.8612335105655418,60,0.7234805081686446
2013-01-05,0.7234805081686448,60,0.766528321417675
2013-01-06,0.7234805081686448,60,0.6287753190207778
2013-01-07,0.7579187587678691,60,0.5943370684215532
2013-01-08,0.31022150097795237,60,0.3877075648262073
2013-01-09,0.585727505771747,60,0.10359199738260652
2013-01-10,-0.10303750621273919,60,0.026105933534351797
2013-01-11,-0.3785435110065339,60,-0.11164706886254554
2013-01-12,0.0002772455849334676,60,-0.034161005014291056
2013-01-13,0.03471549618415769,60,0.10359199738260608
2013-01-14,0.2069067491802788,60,0.043325058833963453
2013-01-15,0.17246849858105456,60,0.18968762388066707
2013-01-16,-0.240790508609637,60,0.2499545624293097
2013-01-17,0.6201657563709722,60,0.25856412507911575
2013-01-18,0.44797450337484923,60,0.46519362867446173
2013-01-19,0.2069067491802788,60,0.24995456242930927
2013-01-20,0.585727505771747,60,0.2843928130285335
2013-01-21,-0.2407905086096379,60,0.5857275057717466
2013-01-22,0.5857275057717461,60,0.6890422575694197
2013-01-23,1.4122455201531312,60,0.9301100117639904
2013-01-24,0.9989865129624396,60,1.24005426715701
2013-01-25,0.7234805081686448,60,0.9301100117639911
2013-01-26,1.8255045273438244,60,0.6546040069701962
2013-01-27,0.17246849858105548,60,0.41353625277562567
2013-01-28,-0.10303750621274012,60,-0.06859925561351521
2013-01-29,-0.240790508609637,60,-0.03416100501429098
2013-01-30,-0.10303750621273919,60,0.2069067491802795
2013-01-31,0.31022150097795237,60,0.3446597515771768
2013-02-01,0.8612335105655418,60,0.20690674918027924
2013-02-02,0.31022150097795237,60,-0.03416100501429098
2013-02-03,-0.6540495158003294,60,-0.3785435110065346
2013-02-04,-0.6540495158003286,60,-0.619611265201105
2013-02-05,-0.5162965134034326,60,-0.4129817616057588
2013-02-06,-0.6540495158003294,60,-0.3785435110065348
2013-02-07,0.17246849858105548,60,-0.28383832185866775
2013-02-08,-0.5162965134034326,60,-0.318276572457892
2013-02-09,-0.13747575681196433,60,-0.42159132425556506
2013-02-10,-0.7918025181972264,60,-0.04277056766409704
2013-02-11,-0.240790508609637,60,-0.10303750621273942
2013-02-12,0.9989865129624396,60,0.20690674918027946
2013-02-13,-0.3785435110065339,60,0.0691537467833821
2013-02-14,0.44797450337484923,60,-0.4129817616057586
2013-02-15,-0.7918025181972264,60,-0.27522875920886125
2013-02-16,-0.9295555205941233,60,-0.5162965134034317
2013-02-17,0.17246849858105548,60,-0.3785435110065346
2013-02-18,-0.5162965134034326,60,0.034715496184157424
2013-02-19,-0.2407905086096379,60,-0.1719140074111888
2013-02-20,0.7234805081686448,60,-0.3096670098080859
2013-02-21,-0.6540495158003294,60,-0.4818582628042073
2013-02-22,-1.067308522991021,60,-0.9295555205941237
2013-02-23,-0.9295555205941233,60,-1.170623274788694
2013-02-24,-1.067308522991021,60,-1.2394997759871427
2013-02-25,-1.6183205325786103,60,-1.4805675301817132
2013-02-26,-1.3428145277848158,60,-1.4805675301817134
