# NASA OMNI Data for Comparison with SuperDARN MSTID Index
# Data re-processed by Nathaniel Frissell, nathaniel.frissell@scranton.edu
#
# radar: wal
# lat: 41.8
# lon: -72.2
# season: 20151101_20160501
#
datetime_ut,OMNI_R_Sunspot_Number,OMNI_Dst,OMNI_F10.7,OMNI_AE
2015-11-01 00:00:00,86.0,-16.5,122.4,95.0
2015-11-01 02:00:00,86.0,-13.0,122.4,239.5
2015-11-01 04:00:00,86.0,-14.0,122.4,227.5
2015-11-01 06:00:00,86.0,-27.5,122.4,390.0
2015-11-01 08:00:00,86.0,-25.0,122.4,285.0
2015-11-01 10:00:00,86.0,-36.0,122.4,411.0
2015-11-01 12:00:00,86.0,-33.5,122.4,362.0
2015-11-01 14:00:00,86.0,-31.5,122.4,428.5
2015-11-01 16:00:00,86.0,-32.0,122.4,411.0
2015-11-01 18:00:00,86.0,-26.0,122.4,342.0
2015-11-01 20:00:00,86.0,-17.5,122.4,105.0
2015-11-01 22:00:00,86.0,-12.5,122.4,46.0
2015-11-02 00:00:00,104.0,-7.5,120.1,48.0
2015-11-02 02:00:00,104.0,0.5,120.1,48.5
2015-11-02 04:00:00,104.0,-3.0,120.1,48.5
2015-11-02 06:00:00,104.0,-3.5,120.1,67.5
2015-11-02 08:00:00,104.0,-2.5,120.1,64.0
2015-11-02 10:00:00,104.0,-4.0,120.1,55.5
2015-11-02 12:00:00,104.0,0.0,120.1,91.5
2015-11-02 14:00:00,104.0,-12.0,120.1,341.5
2015-11-02 16:00:00,104.0,-12.0,120.1,86.5
2015-11-02 18:00:00,104.0,-10.0,120.1,44.0
2015-11-02 20:00:00,104.0,-7.5,120.1,42.0
2015-11-02 22:00:00,104.0,2.0,120.1,47.0
2015-11-03 00:00:00,84.0,17.0,122.2,66.5
2015-11-03 02:00:00,84.0,25.5,122.2,228.5
2015-11-03 04:00:00,84.0,19.0,122.2,186.5
2015-11-03 06:00:00,84.0,30.0,122.2,193.5
2015-11-03 08:00:00,84.0,-27.5,122.2,311.0
