# NASA OMNI Data for Comparison with SuperDARN MSTID Index
# Data re-processed by Nathaniel Frissell, nathaniel.frissell@scranton.edu
#
# radar: fhw
# lat: 43.3
# lon: -102.7
# season: 20201101_20210501
#
datetime_ut,OMNI_R_Sunspot_Number,OMNI_Dst,OMNI_F10.7,OMNI_AE
2020-11-01 00:00:00,3.0,-12.0,76.1,
2020-11-01 02:00:00,3.0,-6.5,76.1,
2020-11-01 04:00:00,3.0,-7.0,76.1,
2020-11-01 06:00:00,3.0,-7.5,76.1,
2020-11-01 08:00:00,3.0,-12.0,76.1,
2020-11-01 10:00:00,3.0,-9.5,76.1,
2020-11-01 12:00:00,3.0,-5.5,76.1,
2020-11-01 14:00:00,3.0,-15.5,76.1,
2020-11-01 16:00:00,3.0,-24.0,76.1,
2020-11-01 18:00:00,3.0,-26.5,76.1,
2020-11-01 20:00:00,3.0,-24.5,76.1,
2020-11-01 22:00:00,3.0,-19.0,76.1,
2020-11-02 00:00:00,8.0,-12.5,80.3,
2020-11-02 02:00:00,8.0,-10.5,80.3,
2020-11-02 04:00:00,8.0,-10.5,80.3,
2020-11-02 06:00:00,8.0,-12.5,80.3,
2020-11-02 08:00:00,8.0,-7.5,80.3,
2020-11-02 10:00:00,8.0,-8.0,80.3,
2020-11-02 12:00:00,8.0,-7.5,80.3,
2020-11-02 14:00:00,8.0,-8.0,80.3,
2020-11-02 16:00:00,8.0,-8.0,80.3,
2020-11-02 18:00:00,8.0,-11.5,80.3,
2020-11-02 20:00:00,8.0,-13.5,80.3,
2020-11-02 22:00:00,8.0,-14.0,80.3,
2020-11-03 00:00:00,16.0,-9.5,81.6,
2020-11-03 02:00:00,16.0,-4.5,81.6,
2020-11-03 04:00:00,16.0,-4.0,81.6,
2020-11-03 06:00:00,16.0,-5.0,81.6,
2020-11-03 08:00:00,16.0,-5.0,81.6,
2020-11-03 10:00:00,16.0,-5.5,81.6,
2020-11-03 12:00:00,16.0,-4.5,81.6,
2020-11-03 14:00:00,16.0,-4.0,81.6,
2020-11-03 16:00:00,16.0,-5.0,81.6,
2020-11-03 18:00:00,16.0,-6.5,81.6,
2020-11-03 20:00:00,16.0,-9.0,81.6,
2020-11-03 22:00:00,16.0,-7.0,81.6,
2020-11-04 00:00:00,24.0,-4.5,86.6,
2020-11-04 02:00:00,24.0,-3.5,86.6,
2020-11-04 04:00:00,24.0,-5.5,86.6,
2020-11-04 06:00:00,24.0,-4.0,86.6,
2020-11-04 08:00:00,24.0,-4.0,86.6,
2020-11-04 10:00:00,24.0,-2.5,86.6,
2020-11-04 12:00:00,24.0,-1.0,86.6,
2020-11-04 14:00:00,24.0,3.0,86.6,
2020-11-04 16:00:00,24.0,5.5,86.6,
2020-11-04 18:00:00,24.0,5.5,86.6,
2020-11-04 20:00:00,24.0,4.5,86.6,
2020-11-04 22:00:00,24.0,3.0,86.6,
2020-11-05 00:00:00,31.0,0.0,89.1,
2020-11-05 02:00:00,31.0,0.0,89.1,
2020-11-05 04:00:00,31.0,2.5,89.1,
2020-11-05 06:00:00,31.0,4.5,89.1,
2020-11-05 08:00:00,31.0,4.0,89.1,
2020-11-05 10:00:00,31.0,4.5,89.1,
2020-11-05 12:00:00,31.0,7.0,89.1,
2020-11-05 14:00:00,31.0,14.0,89.1,
2020-11-05 16:00:00,31.0,17.5,89.1,
2020-11-05 18:00:00,31.0,14.0,89.1,
2020-11-05 20:00:00,31.0,14.0,89.1,
2020-11-05 22:00:00,31.0,7.5,89.1,
2020-11-06 00:00:00,41.0,8.5,92.1,
2020-11-06 02:00:00,41.0,8.5,92.1,
2020-11-06 04:00:00,41.0,10.0,92.1,
2020-11-06 06:00:00,41.0,4.0,92.1,
2020-11-06 08:00:00,41.0,3.5,92.1,
2020-11-06 10:00:00,41.0,-1.0,92.1,
2020-11-06 12:00:00,41.0,0.0,92.1,
2020-11-06 14:00:00,41.0,2.0,92.1,
2020-11-06 16:00:00,41.0,-5.0,92.1,
2020-11-06 18:00:00,41.0,-6.0,92.1,
2020-11-06 20:00:00,41.0,-5.0,92.1,
2020-11-06 22:00:00,41.0,-6.0,92.1,
2020-11-07 00:00:00,38.0,-3.5,88.9,
2020-11-07 02:00:00,38.0,-1.0,88.9,
2020-11-07 04:00:00,38.0,3.0,88.9,
2020-11-07 06:00:00,38.0,1.0,88.9,
2020-11-07 08:00:00,38.0,-4.5,88.9,
2020-11-07 10:00:00,38.0,-8.0,88.9,
2020-11-07 12:00:00,38.0,-4.5,88.9,
2020-11-07 14:00:00,38.0,-2.5,88.9,
2020-11-07 16:00:00,38.0,-5.5,88.9,
2020-11-07 18:00:00,38.0,-5.5,88.9,
2020-11-07 20:00:00,38.0,-7.5,88.9,
