# NASA OMNI Data for Comparison with SuperDARN MSTID Index
# Data re-processed by Nathaniel Frissell, nathaniel.frissell@scranton.edu
#
# radar: cvw
# lat: 47.9
# lon: -123.4
# season: 20121101_20130501
#
datetime_ut,OMNI_R_Sunspot_Number,OMNI_Dst,OMNI_F10.7,OMNI_AE
2012-11-01 00:00:00,47.0,16.5,96.8,134.5
2012-11-01 02:00:00,47.0,20.0,96.8,99.5
2012-11-01 04:00:00,47.0,5.0,96.8,253.5
2012-11-01 06:00:00,47.0,-22.0,96.8,398.0
2012-11-01 08:00:00,47.0,-42.5,96.8,519.5
2012-11-01 10:00:00,47.0,-48.5,96.8,674.5
2012-11-01 12:00:00,47.0,-59.0,96.8,848.0
2012-11-01 14:00:00,47.0,-55.5,96.8,1231.0
2012-11-01 16:00:00,47.0,-53.5,96.8,730.0
2012-11-01 18:00:00,47.0,-59.0,96.8,719.5
2012-11-01 20:00:00,47.0,-62.0,96.8,589.5
2012-11-01 22:00:00,47.0,-48.0,96.8,245.5
2012-11-02 00:00:00,45.0,-39.0,94.9,140.5
2012-11-02 02:00:00,45.0,-37.0,94.9,74.5
2012-11-02 04:00:00,45.0,-26.0,94.9,72.5
2012-11-02 06:00:00,45.0,-22.5,94.9,44.5
2012-11-02 08:00:00,45.0,-21.0,94.9,32.5
2012-11-02 10:00:00,45.0,-28.0,94.9,27.0
2012-11-02 12:00:00,45.0,-29.5,94.9,26.0
2012-11-02 14:00:00,45.0,-21.5,94.9,26.5
2012-11-02 16:00:00,45.0,-17.5,94.9,30.5
2012-11-02 18:00:00,45.0,-18.5,94.9,61.0
2012-11-02 20:00:00,45.0,-23.5,94.9,114.0
2012-11-02 22:00:00,45.0,-19.0,94.9,48.0
2012-11-03 00:00:00,44.0,-17.0,91.8,13.0
2012-11-03 02:00:00,44.0,-15.5,91.8,18.0
2012-11-03 04:00:00,44.0,-13.0,91.8,21.5
2012-11-03 06:00:00,44.0,-11.5,91.8,27.5
2012-11-03 08:00:00,44.0,-10.0,91.8,27.0
2012-11-03 10:00:00,44.0,-10.0,91.8,24.5
2012-11-03 12:00:00,44.0,-8.5,91.8,26.5
2012-11-03 14:00:00,44.0,-9.5,91.8,62.5
2012-11-03 16:00:00,44.0,-12.0,91.8,277.0
2012-11-03 18:00:00,44.0,-14.0,91.8,131.0
2012-11-03 20:00:00,44.0,-15.5,91.8,80.0
2012-11-03 22:00:00,44.0,-14.5,91.8,19.5
2012-11-04 00:00:00,45.0,-9.5,93.4,18.5
2012-11-04 02:00:00,45.0,-9.0,93.4,56.5
2012-11-04 04:00:00,45.0,-8.5,93.4,48.5
2012-11-04 06:00:00,45.0,-7.5,93.4,49.5
2012-11-04 08:00:00,45.0,-11.0,93.4,52.0
2012-11-04 10:00:00,45.0,-12.0,93.4,39.5
2012-11-04 12:00:00,45.0,-14.0,93.4,119.0
2012-11-04 14:00:00,45.0,-11.0,93.4,44.5
2012-11-04 16:00:00,45.0,-8.0,93.4,99.0
2012-11-04 18:00:00,45.0,-7.5,93.4,51.5
2012-11-04 20:00:00,45.0,-8.5,93.4,21.0
2012-11-04 22:00:00,45.0,-7.0,93.4,18.5
