# NASA OMNI Data for Comparison with SuperDARN MSTID Index
# Data re-processed by Nathaniel Frissell, nathaniel.frissell@scranton.edu
#
# radar: sas
# lat: 56.1
# lon: -103.8
# season: 20101101_20110501
#
datetime_ut,OMNI_R_Sunspot_Number,OMNI_Dst,OMNI_F10.7,OMNI_AE
2010-11-01 00:00:00,21.0,4.5,77.9,17.5
2010-11-01 02:00:00,21.0,8.5,77.9,14.5
2010-11-01 04:00:00,21.0,3.0,77.9,15.0
2010-11-01 06:00:00,21.0,7.0,77.9,19.0
2010-11-01 08:00:00,21.0,10.5,77.9,22.5
2010-11-01 10:00:00,21.0,8.0,77.9,31.5
2010-11-01 12:00:00,21.0,2.5,77.9,27.0
2010-11-01 14:00:00,21.0,0.0,77.9,27.0
2010-11-01 16:00:00,21.0,-1.5,77.9,31.5
2010-11-01 18:00:00,21.0,-3.5,77.9,26.0
2010-11-01 20:00:00,21.0,-6.5,77.9,31.0
2010-11-01 22:00:00,21.0,-4.0,77.9,29.5
2010-11-02 00:00:00,18.0,-1.0,77.7,17.5
2010-11-02 02:00:00,18.0,2.0,77.7,11.0
2010-11-02 04:00:00,18.0,3.5,77.7,12.5
2010-11-02 06:00:00,18.0,2.5,77.7,37.0
2010-11-02 08:00:00,18.0,-7.0,77.7,207.0
2010-11-02 10:00:00,18.0,-6.0,77.7,108.5
2010-11-02 12:00:00,18.0,-4.5,77.7,72.5
2010-11-02 14:00:00,18.0,-6.5,77.7,106.5
2010-11-02 16:00:00,18.0,-7.0,77.7,45.0
2010-11-02 18:00:00,18.0,-6.5,77.7,40.5
2010-11-02 20:00:00,18.0,-6.0,77.7,20.0
2010-11-02 22:00:00,18.0,-5.5,77.7,19.5
2010-11-03 00:00:00,18.0,-9.0,77.2,39.5
2010-11-03 02:00:00,18.0,-9.5,77.2,74.0
2010-11-03 04:00:00,18.0,-13.0,77.2,120.5
2010-11-03 06:00:00,18.0,-12.5,77.2,78.5
2010-11-03 08:00:00,18.0,-15.0,77.2,130.0
2010-11-03 10:00:00,18.0,-11.0,77.2,58.0
2010-11-03 12:00:00,18.0,-13.0,77.2,359.5
2010-11-03 14:00:00,18.0,-16.5,77.2,176.0
2010-11-03 16:00:00,18.0,-16.5,77.2,46.0
2010-11-03 18:00:00,18.0,-17.5,77.2,139.0
2010-11-03 20:00:00,18.0,-15.5,77.2,150.0
2010-11-03 22:00:00,18.0,-14.5,77.2,69.5
2010-11-04 00:00:00,14.0,-14.5,77.8,79.0
2010-11-04 02:00:00,14.0,-14.0,77.8,141.0
2010-11-04 04:00:00,14.0,-12.5,77.8,61.5
2010-11-04 06:00:00,14.0,-12.0,77.8,61.0
2010-11-04 08:00:00,14.0,-15.0,77.8,91.5
2010-11-04 10:00:00,14.0,-17.5,77.8,266.0
2010-11-04 12:00:00,14.0,-6.5,77.8,183.0
2010-11-04 14:00:00,14.0,-0.5,77.8,90.5
2010-11-04 16:00:00,14.0,-1.0,77.8,64.0
2010-11-04 18:00:00,14.0,-5.5,77.8,21.5
2010-11-04 20:00:00,14.0,-4.5,77.8,16.0
2010-11-04 22:00:00,14.0,-3.0,77.8,19.5
2010-11-05 00:00:00,27.0,2.0,81.6,21.0
2010-11-05 02:00:00,27.0,3.0,81.6,20.0
2010-11-05 04:00:00,27.0,0.5,81.6,23.0
2010-11-05 06:00:00,27.0,0.5,81.6,140.0
2010-11-05 08:00:00,27.0,3.0,81.6,143.5
2010-11-05 10:00:00,27.0,6.0,81.6,135.5
2010-11-05 12:00:00,27.0,0.5,81.6,171.0
2010-11-05 14:00:00,27.0,-2.0,81.6,44.5
2010-11-05 16:00:00,27.0,-10.0,81.6,123.5
2010-11-05 18:00:00,27.0,-10.0,81.6,35.5
2010-11-05 20:00:00,27.0,-6.5,81.6,22.0
2010-11-05 22:00:00,27.0,-10.5,81.6,18.5
2010-11-06 00:00:00,35.0,-8.0,87.1,18.5
2010-11-06 02:00:00,35.0,-3.5,87.1,15.5
2010-11-06 04:00:00,35.0,-1.0,87.1,17.0
2010-11-06 06:00:00,35.0,-1.0,87.1,32.5
2010-11-06 08:00:00,35.0,1.5,87.1,28.5
2010-11-06 10:00:00,35.0,0.0,87.1,61.0
2010-11-06 12:00:00,35.0,2.5,87.1,56.5
2010-11-06 14:00:00,35.0,3.0,87.1,46.5
2010-11-06 16:00:00,35.0,2.5,87.1,33.5
2010-11-06 18:00:00,35.0,2.0,87.1,21.5
2010-11-06 20:00:00,35.0,-0.5,87.1,50.5
2010-11-06 22:00:00,35.0,-1.0,87.1,24.0
2010-11-07 00:00:00,37.0,-3.5,83.5,21.0
2010-11-07 02:00:00,37.0,-0.5,83.5,26.0
2010-11-07 04:00:00,37.0,1.5,83.5,13.0
2010-11-07 06:00:00,37.0,3.0,83.5,14.0
2010-11-07 08:00:00,37.0,2.5,83.5,23.0
2010-11-07 10:00:00,37.0,1.0,83.5,22.0
2010-11-07 12:00:00,37.0,-0.5,83.5,28.0
2010-11-07 14:00:00,37.0,0.5,83.5,41.0
2010-11-07 16:00:00,37.0,2.5,83.5,77.5
2010-11-07 18:00:00,37.0,2.0,83.5,110.5
2010-11-07 20:00:00,37.0,4.0,83.5,54.0
2010-11-07 22:00:00,37.0,7.5,83.5,36.0
2010-11-08 00:00:00,37.0,10.5,82.2,15.5
2010-11-08 02:00:00,37.0,14.0,82.2,14.5
2010-11-08 04:00:00,37.0,12.0,82.2,13.5
2010-11-08 06:00:00,37.0,11.0,82.2,15.0
2010-11-08 08:00:00,37.0,19.0,82.2,28.0
2010-11-08 10:00:00,37.0,21.5,82.2,50.0
2010-11-08 12:00:00,37.0,6.5,82.2,142.0
2010-11-08 14:00:00,37.0,-3.5,82.2,118.0
2010-11-08 16:00:00,37.0,-7.0,82.2,247.5
2010-11-08 18:00:00,37.0,-9.0,82.2,113.5
2010-11-08 20:00:00,37.0,-8.5,82.2,62.0
2010-11-08 22:00:00,37.0,-8.5,82.2,27.0
2010-11-09 00:00:00,30.0,-6.5,82.5,25.0
2010-11-09 02:00:00,30.0,-9.0,82.5,53.5
2010-11-09 04:00:00,30.0,-9.0,82.5,93.0
2010-11-09 06:00:00,30.0,-7.5,82.5,112.5
2010-11-09 08:00:00,30.0,-9.0,82.5,93.0
2010-11-09 10:00:00,30.0,-13.5,82.5,57.5
2010-11-09 12:00:00,30.0,-10.5,82.5,66.0
2010-11-09 14:00:00,30.0,-7.0,82.5,52.5
2010-11-09 16:00:00,30.0,-9.5,82.5,35.5
2010-11-09 18:00:00,30.0,-9.0,82.5,67.5
2010-11-09 20:00:00,30.0,-5.5,82.5,22.0
2010-11-09 22:00:00,30.0,-5.5,82.5,22.0
2010-11-10 00:00:00,48.0,-3.0,83.9,20.5
2010-11-10 02:00:00,48.0,1.0,83.9,23.5
2010-11-10 04:00:00,48.0,1.0,83.9,29.5
2010-11-10 06:00:00,48.0,-1.5,83.9,50.0
2010-11-10 08:00:00,48.0,-1.0,83.9,66.0
2010-11-10 10:00:00,48.0,-3.5,83.9,34.5
2010-11-10 12:00:00,48.0,-7.0,83.9,37.0
2010-11-10 14:00:00,48.0,-4.0,83.9,27.0
2010-11-10 16:00:00,48.0,-2.5,83.9,59.5
2010-11-10 18:00:00,48.0,8.0,83.9,213.5
2010-11-10 20:00:00,48.0,-6.0,83.9,219.5
2010-11-10 22:00:00,48.0,-2.5,83.9,160.0
2010-11-11 00:00:00,51.0,3.0,82.8,203.5
2010-11-11 02:00:00,51.0,1.0,82.8,197.5
