# NASA OMNI Data for Comparison with SuperDARN MSTID Index
# Data re-processed by Nathaniel Frissell, nathaniel.frissell@scranton.edu
#
# radar: cve
# lat: 46.4
# lon: -114.6
# season: 20191101_20200501
#
datetime_ut,OMNI_R_Sunspot_Number,OMNI_Dst,OMNI_F10.7,OMNI_AE
2019-11-01 00:00:00,6.0,-10.0,69.6,
2019-11-01 02:00:00,6.0,-12.5,69.6,
2019-11-01 04:00:00,6.0,-10.0,69.6,
2019-11-01 06:00:00,6.0,-6.0,69.6,
2019-11-01 08:00:00,6.0,-3.0,69.6,
2019-11-01 10:00:00,6.0,-7.0,69.6,
2019-11-01 12:00:00,6.0,-7.0,69.6,
2019-11-01 14:00:00,6.0,-5.5,69.6,
2019-11-01 16:00:00,6.0,-7.5,69.6,
2019-11-01 18:00:00,6.0,-9.5,69.6,
2019-11-01 20:00:00,6.0,-10.0,69.6,
2019-11-01 22:00:00,6.0,-9.5,69.6,
2019-11-02 00:00:00,2.0,-9.0,69.6,
2019-11-02 02:00:00,2.0,-8.0,69.6,
2019-11-02 04:00:00,2.0,-5.0,69.6,
2019-11-02 06:00:00,2.0,-2.5,69.6,
2019-11-02 08:00:00,2.0,-5.0,69.6,
2019-11-02 10:00:00,2.0,-3.0,69.6,
2019-11-02 12:00:00,2.0,-4.0,69.6,
2019-11-02 14:00:00,2.0,-3.0,69.6,
2019-11-02 16:00:00,2.0,-3.5,69.6,
2019-11-02 18:00:00,2.0,-4.5,69.6,
2019-11-02 20:00:00,2.0,-1.5,69.6,
2019-11-02 22:00:00,2.0,0.0,69.6,
2019-11-03 00:00:00,0.0,-1.5,68.3,
2019-11-03 02:00:00,0.0,0.5,68.3,
2019-11-03 04:00:00,0.0,2.0,68.3,
2019-11-03 06:00:00,0.0,-2.0,68.3,
2019-11-03 08:00:00,0.0,-1.0,68.3,
2019-11-03 10:00:00,0.0,1.0,68.3,
2019-11-03 12:00:00,0.0,1.0,68.3,
2019-11-03 14:00:00,0.0,1.0,68.3,
2019-11-03 16:00:00,0.0,0.5,68.3,
2019-11-03 18:00:00,0.0,-0.5,68.3,
2019-11-03 20:00:00,0.0,-1.5,68.3,
2019-11-03 22:00:00,0.0,0.5,68.3,
2019-11-04 00:00:00,4.0,0.0,69.6,
2019-11-04 02:00:00,4.0,-2.5,69.6,
2019-11-04 04:00:00,4.0,-3.0,69.6,
2019-11-04 06:00:00,4.0,10.5,69.6,
2019-11-04 08:00:00,4.0,19.0,69.6,
2019-11-04 10:00:00,4.0,13.5,69.6,
2019-11-04 12:00:00,4.0,8.0,69.6,
2019-11-04 14:00:00,4.0,3.5,69.6,
2019-11-04 16:00:00,4.0,-4.0,69.6,
2019-11-04 18:00:00,4.0,-5.0,69.6,
2019-11-04 20:00:00,4.0,-9.5,69.6,
2019-11-04 22:00:00,4.0,-5.5,69.6,
2019-11-05 00:00:00,0.0,0.5,69.2,
2019-11-05 02:00:00,0.0,-3.5,69.2,
2019-11-05 04:00:00,0.0,-2.5,69.2,
2019-11-05 06:00:00,0.0,0.5,69.2,
2019-11-05 08:00:00,0.0,-1.5,69.2,
2019-11-05 10:00:00,0.0,0.5,69.2,
2019-11-05 12:00:00,0.0,-3.0,69.2,
2019-11-05 14:00:00,0.0,-8.0,69.2,
2019-11-05 16:00:00,0.0,-11.0,69.2,
2019-11-05 18:00:00,0.0,-12.5,69.2,
2019-11-05 20:00:00,0.0,-11.5,69.2,
2019-11-05 22:00:00,0.0,-5.5,69.2,
2019-11-06 00:00:00,0.0,-6.5,68.1,
2019-11-06 02:00:00,0.0,-11.0,68.1,
2019-11-06 04:00:00,0.0,-8.0,68.1,
2019-11-06 06:00:00,0.0,-6.5,68.1,
2019-11-06 08:00:00,0.0,-9.0,68.1,
2019-11-06 10:00:00,0.0,-9.5,68.1,
