# SuperDARN MSTID Index
# Generated by Nathaniel Frissell, nathaniel.frissell@scranton.edu
#
# MongoDB_database: mstid_2016
# MongoDB_collection: guc_bks_20141101_20150501
# MongoDB_MUSICcollection: music_guc_bks_20141101_20150501
# season: 20141101_20150501
# Max Number of Signals Reported: 2
# MongoDB_to_CSV_Script: /home/r01344106/code/lws_hemispheres/mongo_to_csv.py
# System Hostname: analysis1
# Script Run Time: 2023-08-23 09:47:18.270606
# radar: bks
# lat: 39.6
# lon: -81.1
#
# The "meanSubIntSpect_by_rtiCnt" is the parameter colloquially known as the SuperDARN MSTID Index.
#   It stands for the seasonal mean subtracted integrated MSTID power spectral density
#   divided by the number of range-beam-time cells that observed ground scatter.
#   It is explained in Section 2.2 of Frissell et al. (2016) (https://doi.org/10.1002/2015JA022168)
#
# Explanation of all parameters in data file:
#  datetime_ut: UTC time at the start of the 2-hour observation window
#  lat: Geographic latitude of center point of detection region.
#  lon: Geographic longitude of center point of detection region.
#  slt: Solar Mean Time at lat/lon point.
#  mlt: Magnetic Local Time at lat/lon point.
#  gscat: Ground scatter flag set at analysis:
#       0: all backscatter data
#       1: ground backscatter only
#       2: ionospheric backscatter only
#       3: all backscatter data with a ground backscatter flag
#  height_km: Assumed reflection point height for analysis 
#  terminator_fraction: number of radar cells in daylight divided by number of radar cells in darkness.
#  good_period: True if period determined to be good for analysis. If False, see Reject Code for explanation.
#  orig_rti_cnt: Number of radar cells in window with a backscatter measurement.
#  orig_rti_fraction: orig_rti_cnt/orig_rti_possible
#  orig_rti_mean:   Mean of all measured values in the data window.
#  orig_rti_median: Median of all measured values in the data window.
#  orig_rti_possible: Total number of possible radar cells in the data window.
#  orig_rti_std: Standard deviation of all measured values in the data window.
#  intSpect: Integrated Spectrum
#            Integration of power spectral density across all radar cells and spectral bins after MSTID bandpass filter has been applied.
#  meanSubIntSpect: Radar-Season Mean Subtracted Integrated Spectrum
#                   Integration of (PSD curve of the data window minus the mean PSD curve of all data windows for this radar and season).
#  intSpect_by_rtiCnt: Integrated Spectrum normalized by the number of Range-Time-Intensity Backscatter Counts
#                      intSpect divided by orig_rti_cnt
#  meanSubIntSpect_by_rtiCnt: Radar-Season Mean Subtracted Integrated Spectrum normalized by the number of Range-Time-Intensity Backscatter Counts
#                             ** This is the MSTID Index in Frissell et al. (2016) **
#                             meanSubIntSpect divided by orig_rti_cnt
#  category_manu: Category assigned to data window in database: MSTID, Quiet, or None
#                   This is typically automatically assigned by the classification algorithm.
# reject_code Explanations:
#   0: Good Period (Not Rejected)
#   1: High Terminator Fraction (Dawn/Dusk in Observational Window
#   2: No Data
#   3: Poor Data Quality (including "Low RTI Fraction" and "Failed Quality Check")
#   4: Other (including "No RTI Fraction" and "No Terminator Fraction")
#
# If MUSIC Processing has been run, there will be information about the signals detected in the data window.
# Multiple signals can be detected, and each data window may have a different number of signals detected.
# Signals are presented in descending order of strength in the MUSIC wavenumber spectrum, each with a signal order ID.
#
#  kx: North-South Wavenumber [1/(2*pi*km)]
#  ky: East-West Wavenumber [1/(2*pi*km)]
#  k: Horizontal Wavenumber [1/(2*pi*km)]
#  lambda_km: Horizontal Wavelength [km]
#  azm_deg: Propagation azimumuth [degrees clockwise from geographic North]
#  freq_Hz: Frequency of maxium MSTID-band Power Spectral Density for data window [Hz]
#  period_min: Period of strongest MSTID in data window [minutes]
#  vel_mps: MSTID Phase Velocity [m/s]
#  max: Wavenumber Spectral Density Value
#  area: Number of pixels of Karr plot in detected region of this signal.
#
datetime_ut,lat,lon,slt,mlt,gscat,height_km,terminator_fraction,good_period,orig_rti_cnt,orig_rti_fraction,orig_rti_mean,orig_rti_median,orig_rti_possible,orig_rti_std,intSpect,meanSubIntSpect,intSpect_by_rtiCnt,meanSubIntSpect_by_rtiCnt,category_manu,reject_code,sig_001_azm_deg,sig_001_area,sig_001_max,sig_001_k,sig_001_period_min,sig_001_ky,sig_001_freq_Hz,sig_001_kx,sig_001_vel_mps,sig_001_lambda_km,sig_002_azm_deg,sig_002_area,sig_002_max,sig_002_k,sig_002_period_min,sig_002_ky,sig_002_freq_Hz,sig_002_kx,sig_002_vel_mps,sig_002_lambda_km
2014-11-01 12:00:00,39.6,-81.1,6.866614571717159,7.213173421960567,1,,0.023167600373482727,True,24373.0,0.6936760018214936,15.95963398911264,14.126823425292969,35136.0,8.295107165158736,,,,,None,1,,,,,,,,,,,,,,,,,,,,
2014-11-01 14:00:00,39.6,-81.1,8.866682339457766,9.208585172879419,1,,0.0,True,21194.0,0.8176697530864198,16.15901666633856,14.836990356445312,25920.0,8.036680600712574,629.9128565017745,59.068345626022854,0.029721282273368618,0.0027870315007088257,mstid,0,155.55604521958344,36.0,0.9661455154418945,0.012083045973594574,36.199999999999946,-0.011,0.0004604051565377539,0.0050000000000000044,239.4107347790843,520.0001159401703,156.03751102542182,151.0,0.948789656162262,0.00984885780179611,36.199999999999946,-0.009000000000000003,0.0004604051565377539,0.0040000000000000036,293.7204468908241,637.960810646869
2014-11-01 16:00:00,39.6,-81.1,10.866774247409749,11.072289768834164,1,,0.0,True,24004.0,0.7937830687830688,14.79217908099738,13.53032398223877,30240.0,7.816015053349878,488.35511862393105,-82.48939225182052,0.02034473915280499,-0.0034364852629486966,quiet,0,,,,,,,,,,,,,,,,,,,,
2014-11-01 18:00:00,39.6,-81.1,12.86687491513036,12.974223577564755,1,,0.0,True,48748.0,0.763022789882294,15.478395818901031,13.889932632446289,63888.0,7.7436683230122165,448.37123398022595,-122.47327689552559,0.009197735988763148,-0.00251237541838692,quiet,0,,,,,,,,,,,,,,,,,,,,
2014-11-01 20:00:00,39.6,-81.1,14.866966205339697,14.895732795151279,1,,0.00019098548510313216,True,50749.0,0.8009627525252525,16.49915673689583,15.033039093017578,63360.0,7.644906271476075,,,,,None,1,,,,,,,,,,,,,,,,,,,,
2014-11-01 22:00:00,39.6,-81.1,16.867032085497396,16.838578973396835,1,,0.8423851021890237,True,46481.0,0.5977494855967078,16.563996644221252,15.609750747680664,77760.0,6.988267596903857,,,,,None,1,,,,,,,,,,,,,,,,,,,,
2014-11-02 12:00:00,39.6,-81.1,6.866946768522498,7.218797180849493,1,,0.027904640116916332,True,45227.0,0.677131991855312,15.824278782224116,14.368631362915039,66792.0,8.10725477946585,,,,,None,1,,,,,,,,,,,,,,,,,,,,
2014-11-02 14:00:00,39.6,-81.1,8.866996432003194,9.215555907049593,1,,0.0,True,46438.0,0.6718460648148148,15.385688708150841,13.411296844482422,69120.0,7.970789704767252,,,,,None,3,,,,,,,,,,,,,,,,,,,,
2014-11-02 16:00:00,39.6,-81.1,10.867070256239034,11.07587011332092,1,,0.0,True,43186.0,0.7497569444444444,15.803988215011612,14.466056823730469,57600.0,8.009460686594931,614.4019304945505,43.55741961879881,0.014226877471739695,0.0010086004635483446,mstid,0,-126.86989764584402,370.0,0.8180163502693176,0.01,28.719999999999974,-0.006,0.000580315691736305,-0.008000000000000002,364.623102784331,628.3185307179587,-163.07248693585296,122.0,0.6478348970413208,0.024041630560342614,28.719999999999974,-0.023,0.000580315691736305,-0.007000000000000001,151.66321679769413,261.34605518578627
2014-11-02 18:00:00,39.6,-81.1,12.867152834004465,12.972164929983279,1,,0.0,True,44730.0,0.7701446280991735,15.570269837764295,13.851910591125488,58080.0,7.8578916779069585,452.13519680170793,-118.70931407404363,0.010108097402229106,-0.002653908206439607,quiet,0,,,,,,,,,,,,,,,,,,,,
2014-11-02 20:00:00,39.6,-81.1,14.867225997240197,14.890909395566384,1,,0.000742296918767507,True,48435.0,0.6727083333333334,15.981981461579997,14.71811294555664,72000.0,7.3513633309932835,,,,,None,1,,,,,,,,,,,,,,,,,,,,
2014-11-02 22:00:00,39.6,-81.1,16.86727368677583,16.833478357561038,1,,0.855672268907563,True,44756.0,0.6216111111111111,17.25261515066253,16.785117149353027,72000.0,6.545998301843414,,,,,None,1,,,,,,,,,,,,,,,,,,,,
2014-11-03 12:00:00,39.6,-81.1,6.8670595927642815,7.224114702024423,1,,0.03244123736451102,True,42491.0,0.6361690022757216,16.04893753509574,14.948442459106445,66792.0,7.860283395223885,,,,,None,1,,,,,,,,,,,,,,,,,,,,
