# MERRA2 Outputs for Comparison with SupDARN MSTID Index
# MERRA2 Run V. Lynn Harvey
# Data re-processed by Nathaniel Frissell, nathaniel.frissell@scranton.edu
#
# radar: wal
# lat: 41.8
# lon: -72.2
# season: 20151101_20160501
#
datetime_ut,U_10HPA,U_1HPA
2015-11-01 00:00:00,14.691802,58.640125
2015-11-01 02:00:00,12.89318,56.1692
2015-11-01 04:00:00,11.094557,53.698277
2015-11-01 06:00:00,9.295935,51.227352
2015-11-01 08:00:00,9.599076,51.570892
2015-11-01 10:00:00,9.902219,51.914436
2015-11-01 12:00:00,10.20536,52.257977
2015-11-01 14:00:00,10.446175,53.613625
2015-11-01 16:00:00,10.686989,54.969276
2015-11-01 18:00:00,10.927803,56.324924
2015-11-01 20:00:00,10.524715,59.832783
2015-11-01 22:00:00,10.121627,63.340645
2015-11-02 00:00:00,9.718539,66.8485
2015-11-02 02:00:00,9.966341,63.884563
2015-11-02 04:00:00,10.214144,60.92062
2015-11-02 06:00:00,10.461946,57.95668
2015-11-02 08:00:00,8.866061,56.890408
2015-11-02 10:00:00,7.2701764,55.82413
2015-11-02 12:00:00,5.674292,54.75786
2015-11-02 14:00:00,7.646492,56.65616
2015-11-02 16:00:00,9.618692,58.554462
2015-11-02 18:00:00,11.590892,60.452763
2015-11-02 20:00:00,11.005618,64.40963
2015-11-02 22:00:00,10.420344,68.36649
2015-11-03 00:00:00,9.835071,72.32336
2015-11-03 02:00:00,9.206657,68.90894
2015-11-03 04:00:00,8.578244,65.49454
2015-11-03 06:00:00,7.949831,62.080124
2015-11-03 08:00:00,9.005756,58.7207
2015-11-03 10:00:00,10.061681,55.361275
2015-11-03 12:00:00,11.117606,52.00185
2015-11-03 14:00:00,10.571465,54.470512
2015-11-03 16:00:00,10.025324,56.93918
2015-11-03 18:00:00,9.479182,59.40784
2015-11-03 20:00:00,10.933218,63.08605
2015-11-03 22:00:00,12.387255,66.76425
2015-11-04 00:00:00,13.84129,70.44246
2015-11-04 02:00:00,12.87617,66.920364
2015-11-04 04:00:00,11.911051,63.398273
2015-11-04 06:00:00,10.9459305,59.87618
2015-11-04 08:00:00,13.0255575,60.738243
2015-11-04 10:00:00,15.1051855,61.600307
2015-11-04 12:00:00,17.184813,62.46237
2015-11-04 14:00:00,16.73381,64.60922
2015-11-04 16:00:00,16.282808,66.75607
2015-11-04 18:00:00,15.831805,68.90292
2015-11-04 20:00:00,16.808025,72.83017
2015-11-04 22:00:00,17.784245,76.75741
2015-11-05 00:00:00,18.760464,80.684654
2015-11-05 02:00:00,18.893135,78.059875
2015-11-05 04:00:00,19.025805,75.4351
2015-11-05 06:00:00,19.158476,72.81032
2015-11-05 08:00:00,18.502306,68.45756
2015-11-05 10:00:00,17.846134,64.10479
2015-11-05 12:00:00,17.189964,59.75203
2015-11-05 14:00:00,19.202814,61.79459
2015-11-05 16:00:00,21.215664,63.837147
2015-11-05 18:00:00,23.228514,65.87971
2015-11-05 20:00:00,23.631765,69.99784
2015-11-05 22:00:00,24.035019,74.11597
2015-11-06 00:00:00,24.43827,78.2341
2015-11-06 02:00:00,24.238356,76.673096
2015-11-06 04:00:00,24.038439,75.11208
2015-11-06 06:00:00,23.838524,73.55108
2015-11-06 08:00:00,24.307182,73.952774
2015-11-06 10:00:00,24.775839,74.35448
2015-11-06 12:00:00,25.244497,74.75617
2015-11-06 14:00:00,26.596804,76.58045
2015-11-06 16:00:00,27.949108,78.40473
2015-11-06 18:00:00,29.301414,80.22901
2015-11-06 20:00:00,28.89993,83.14119
2015-11-06 22:00:00,28.498446,86.05337
2015-11-07 00:00:00,28.09696,88.965546
2015-11-07 02:00:00,28.220821,83.98184
2015-11-07 04:00:00,28.344685,78.99813
2015-11-07 06:00:00,28.468546,74.01443
2015-11-07 08:00:00,29.2762,69.23495
2015-11-07 10:00:00,30.083855,64.45547
2015-11-07 12:00:00,30.891508,59.675983
2015-11-07 14:00:00,30.897215,61.489586
2015-11-07 16:00:00,30.902922,63.30319
2015-11-07 18:00:00,30.908628,65.11679
2015-11-07 20:00:00,30.796087,70.10834
2015-11-07 22:00:00,30.683548,75.09988
2015-11-08 00:00:00,30.571007,80.09142
2015-11-08 02:00:00,30.803238,75.46184
2015-11-08 04:00:00,31.03547,70.83225
2015-11-08 06:00:00,31.2677,66.20267
2015-11-08 08:00:00,30.79164,64.6531
2015-11-08 10:00:00,30.315577,63.103535
2015-11-08 12:00:00,29.839516,61.55397
2015-11-08 14:00:00,30.663725,62.337845
2015-11-08 16:00:00,31.487936,63.121716
2015-11-08 18:00:00,32.312145,63.90559
2015-11-08 20:00:00,31.518381,67.45218
2015-11-08 22:00:00,30.724617,70.998764
2015-11-09 00:00:00,29.930853,74.54535
2015-11-09 02:00:00,30.370544,70.20713
2015-11-09 04:00:00,30.810238,65.86891
2015-11-09 06:00:00,31.24993,61.530697
2015-11-09 08:00:00,30.127626,58.530727
2015-11-09 10:00:00,29.005323,55.53076
2015-11-09 12:00:00,27.88302,52.530792
2015-11-09 14:00:00,28.734232,52.04686
2015-11-09 16:00:00,29.585443,51.562927
2015-11-09 18:00:00,30.436655,51.078995
2015-11-09 20:00:00,29.84772,55.608356
2015-11-09 22:00:00,29.258781,60.137722
2015-11-10 00:00:00,28.669846,64.66708
2015-11-10 02:00:00,28.463726,62.711594
2015-11-10 04:00:00,28.257608,60.756104
2015-11-10 06:00:00,28.051489,58.800613
2015-11-10 08:00:00,27.828697,59.105816
2015-11-10 10:00:00,27.605907,59.41102
2015-11-10 12:00:00,27.383116,59.71622
2015-11-10 14:00:00,26.229828,58.43271
2015-11-10 16:00:00,25.076538,57.149193
2015-11-10 18:00:00,23.92325,55.86568
2015-11-10 20:00:00,24.397137,59.385498
2015-11-10 22:00:00,24.871021,62.905315
2015-11-11 00:00:00,25.344908,66.42513
2015-11-11 02:00:00,24.262283,61.959717
2015-11-11 04:00:00,23.179657,57.494305
2015-11-11 06:00:00,22.097033,53.02889
2015-11-11 08:00:00,21.774595,52.853455
2015-11-11 10:00:00,21.452158,52.678017
2015-11-11 12:00:00,21.12972,52.502583
2015-11-11 14:00:00,20.488165,52.530457
2015-11-11 16:00:00,19.846607,52.558327
2015-11-11 18:00:00,19.205051,52.5862
2015-11-11 20:00:00,19.32382,56.30153
2015-11-11 22:00:00,19.442587,60.01686
2015-11-12 00:00:00,19.561356,63.73219
2015-11-12 02:00:00,17.958132,63.543037
2015-11-12 04:00:00,16.354906,63.35388
2015-11-12 06:00:00,14.751682,63.16473
2015-11-12 08:00:00,14.967539,62.805832
2015-11-12 10:00:00,15.183394,62.446938
2015-11-12 12:00:00,15.399251,62.08804
2015-11-12 14:00:00,15.514072,63.772144
2015-11-12 16:00:00,15.628895,65.45625
2015-11-12 18:00:00,15.743716,67.14036
2015-11-12 20:00:00,15.217176,68.32416
2015-11-12 22:00:00,14.690637,69.50795
2015-11-13 00:00:00,14.164097,70.69175
2015-11-13 02:00:00,13.850464,66.74992
2015-11-13 04:00:00,13.536832,62.808094
2015-11-13 06:00:00,13.223199,58.86627
2015-11-13 08:00:00,13.962867,54.12859
2015-11-13 10:00:00,14.702536,49.390907
2015-11-13 12:00:00,15.4422035,44.65323
2015-11-13 14:00:00,14.996418,46.801395
2015-11-13 16:00:00,14.5506315,48.949562
2015-11-13 18:00:00,14.104846,51.09773
2015-11-13 20:00:00,14.553953,54.524887
2015-11-13 22:00:00,15.00306,57.95204
2015-11-14 00:00:00,15.4521675,61.3792
2015-11-14 02:00:00,15.80879,60.02083
2015-11-14 04:00:00,16.165413,58.662453
2015-11-14 06:00:00,16.522036,57.30408
2015-11-14 08:00:00,15.398379,57.350704
2015-11-14 10:00:00,14.274723,57.397327
2015-11-14 12:00:00,13.151067,57.44395
2015-11-14 14:00:00,14.309869,54.629383
2015-11-14 16:00:00,15.468672,51.814816
2015-11-14 18:00:00,16.627474,49.000248
2015-11-14 20:00:00,16.367085,50.306007
2015-11-14 22:00:00,16.106693,51.611763
2015-11-15 00:00:00,15.846303,52.917522
2015-11-15 02:00:00,16.225246,53.895367
2015-11-15 04:00:00,16.60419,54.87321
2015-11-15 06:00:00,16.983133,55.851055
2015-11-15 08:00:00,17.703215,59.296967
2015-11-15 10:00:00,18.423294,62.742878
2015-11-15 12:00:00,19.143375,66.18879
2015-11-15 14:00:00,19.010328,65.77861
2015-11-15 16:00:00,18.877283,65.36844
2015-11-15 18:00:00,18.744236,64.95826
2015-11-15 20:00:00,19.276247,65.128395
2015-11-15 22:00:00,19.808256,65.29853
2015-11-16 00:00:00,20.340267,65.468666
2015-11-16 02:00:00,20.276756,61.617775
2015-11-16 04:00:00,20.213245,57.76688
2015-11-16 06:00:00,20.149734,53.91599
2015-11-16 08:00:00,20.272001,50.632664
2015-11-16 10:00:00,20.394268,47.34934
2015-11-16 12:00:00,20.516535,44.066013
2015-11-16 14:00:00,20.6218,41.943943
2015-11-16 16:00:00,20.727066,39.821873
2015-11-16 18:00:00,20.83233,37.699802
2015-11-16 20:00:00,21.233076,41.305668
2015-11-16 22:00:00,21.633821,44.911533
2015-11-17 00:00:00,22.034567,48.5174
2015-11-17 02:00:00,21.731567,47.891804
2015-11-17 04:00:00,21.42857,47.26621
2015-11-17 06:00:00,21.12557,46.640614
2015-11-17 08:00:00,20.170612,49.059185
2015-11-17 10:00:00,19.215656,51.47776
2015-11-17 12:00:00,18.260698,53.89633
2015-11-17 14:00:00,18.85045,54.254074
2015-11-17 16:00:00,19.440203,54.611816
2015-11-17 18:00:00,20.029955,54.96956
2015-11-17 20:00:00,19.807419,60.592445
2015-11-17 22:00:00,19.58488,66.21533
2015-11-18 00:00:00,19.362345,71.83822
2015-11-18 02:00:00,19.520605,66.61404
2015-11-18 04:00:00,19.678867,61.38985
2015-11-18 06:00:00,19.837128,56.165665
2015-11-18 08:00:00,18.486536,55.721523
2015-11-18 10:00:00,17.135946,55.277378
2015-11-18 12:00:00,15.785355,54.833237
2015-11-18 14:00:00,17.055155,54.681015
2015-11-18 16:00:00,18.324955,54.52879
2015-11-18 18:00:00,19.594755,54.376568
2015-11-18 20:00:00,18.25926,59.444607
2015-11-18 22:00:00,16.923765,64.51264
2015-11-19 00:00:00,15.588269,69.58068
2015-11-19 02:00:00,15.383513,60.918877
2015-11-19 04:00:00,15.178758,52.25707
2015-11-19 06:00:00,14.974002,43.595264
2015-11-19 08:00:00,15.009585,39.758606
2015-11-19 10:00:00,15.045169,35.92195
2015-11-19 12:00:00,15.080752,32.085293
2015-11-19 14:00:00,15.083486,30.534235
2015-11-19 16:00:00,15.086218,28.98318
2015-11-19 18:00:00,15.088951,27.432121
2015-11-19 20:00:00,16.130928,36.31486
2015-11-19 22:00:00,17.172907,45.1976
2015-11-20 00:00:00,18.214884,54.08034
2015-11-20 02:00:00,17.838142,53.48577
2015-11-20 04:00:00,17.461403,52.891197
2015-11-20 06:00:00,17.084661,52.296627
2015-11-20 08:00:00,16.908512,52.8459
2015-11-20 10:00:00,16.732365,53.395172
2015-11-20 12:00:00,16.556215,53.944447
2015-11-20 14:00:00,17.645748,53.66756
2015-11-20 16:00:00,18.735283,53.39067
2015-11-20 18:00:00,19.824816,53.113785
2015-11-20 20:00:00,20.099802,61.59331
2015-11-20 22:00:00,20.374788,70.07284
2015-11-21 00:00:00,20.649775,78.55236
2015-11-21 02:00:00,20.914797,75.334015
2015-11-21 04:00:00,21.179817,72.11568
2015-11-21 06:00:00,21.44484,68.89733
2015-11-21 08:00:00,20.76992,66.53914
2015-11-21 10:00:00,20.095,64.180954
2015-11-21 12:00:00,19.42008,61.822765
2015-11-21 14:00:00,21.93008,60.636124
2015-11-21 16:00:00,24.440083,59.44948
2015-11-21 18:00:00,26.950083,58.262836
2015-11-21 20:00:00,24.974726,59.722294
2015-11-21 22:00:00,22.999367,61.181747
2015-11-22 00:00:00,21.02401,62.641205
2015-11-22 02:00:00,21.140192,61.700176
2015-11-22 04:00:00,21.256376,60.759144
2015-11-22 06:00:00,21.372559,59.818115
2015-11-22 08:00:00,21.60599,62.10265
2015-11-22 10:00:00,21.839422,64.387184
2015-11-22 12:00:00,22.072853,66.67172
2015-11-22 14:00:00,22.252718,69.48949
2015-11-22 16:00:00,22.432583,72.30726
2015-11-22 18:00:00,22.612448,75.12502
2015-11-22 20:00:00,22.529045,76.14233
2015-11-22 22:00:00,22.445644,77.15964
2015-11-23 00:00:00,22.362242,78.17694
2015-11-23 02:00:00,22.317286,75.10632
2015-11-23 04:00:00,22.27233,72.0357
2015-11-23 06:00:00,22.227373,68.96508
2015-11-23 08:00:00,21.66354,67.47919
2015-11-23 10:00:00,21.099705,65.9933
2015-11-23 12:00:00,20.535872,64.50741
2015-11-23 14:00:00,20.861338,63.316746
2015-11-23 16:00:00,21.186802,62.126083
2015-11-23 18:00:00,21.512268,60.93542
2015-11-23 20:00:00,22.580078,63.212116
2015-11-23 22:00:00,23.647888,65.48881
2015-11-24 00:00:00,24.715698,67.7655
2015-11-24 02:00:00,24.374453,70.90887
2015-11-24 04:00:00,24.033209,74.05224
2015-11-24 06:00:00,23.691963,77.1956
2015-11-24 08:00:00,23.382381,77.7595
2015-11-24 10:00:00,23.072798,78.323395
2015-11-24 12:00:00,22.763216,78.88729
2015-11-24 14:00:00,24.009846,77.34646
2015-11-24 16:00:00,25.256474,75.805626
2015-11-24 18:00:00,26.503103,74.26479
2015-11-24 20:00:00,24.948462,77.28646
2015-11-24 22:00:00,23.393822,80.30813
2015-11-25 00:00:00,21.83918,83.329796
2015-11-25 02:00:00,20.488485,81.13064
2015-11-25 04:00:00,19.13779,78.93149
2015-11-25 06:00:00,17.787096,76.73233
2015-11-25 08:00:00,17.55136,77.27457
2015-11-25 10:00:00,17.31562,77.816795
2015-11-25 12:00:00,17.079884,78.35903
2015-11-25 14:00:00,16.980816,78.5258
2015-11-25 16:00:00,16.881746,78.692566
2015-11-25 18:00:00,16.782679,78.85934
2015-11-25 20:00:00,17.253864,78.221275
2015-11-25 22:00:00,17.725052,77.58321
2015-11-26 00:00:00,18.196238,76.94515
2015-11-26 02:00:00,17.64367,77.55321
2015-11-26 04:00:00,17.091099,78.161255
2015-11-26 06:00:00,16.53853,78.76931
2015-11-26 08:00:00,15.625776,79.23361
2015-11-26 10:00:00,14.713021,79.69791
2015-11-26 12:00:00,13.800267,80.16221
2015-11-26 14:00:00,14.114774,79.640564
2015-11-26 16:00:00,14.42928,79.11891
2015-11-26 18:00:00,14.743787,78.59727
2015-11-26 20:00:00,13.970361,79.54888
2015-11-26 22:00:00,13.196935,80.500496
2015-11-27 00:00:00,12.423509,81.45211
2015-11-27 02:00:00,12.675226,79.98213
2015-11-27 04:00:00,12.926944,78.51216
2015-11-27 06:00:00,13.178661,77.04218
2015-11-27 08:00:00,12.741422,74.922455
2015-11-27 10:00:00,12.304183,72.80272
2015-11-27 12:00:00,11.866943,70.68299
2015-11-27 14:00:00,13.19005,72.954704
2015-11-27 16:00:00,14.513156,75.22641
2015-11-27 18:00:00,15.836263,77.49812
2015-11-27 20:00:00,17.37913,81.255585
2015-11-27 22:00:00,18.921995,85.01304
2015-11-28 00:00:00,20.46486,88.7705
2015-11-28 02:00:00,20.892038,84.38626
2015-11-28 04:00:00,21.319214,80.00203
2015-11-28 06:00:00,21.746391,75.61779
2015-11-28 08:00:00,23.27279,74.068756
2015-11-28 10:00:00,24.79919,72.51973
2015-11-28 12:00:00,26.32559,70.970695
2015-11-28 14:00:00,28.148033,72.4188
2015-11-28 16:00:00,29.970478,73.866905
2015-11-28 18:00:00,31.792921,75.31501
2015-11-28 20:00:00,32.608192,79.384735
2015-11-28 22:00:00,33.423466,83.45447
2015-11-29 00:00:00,34.23874,87.52419
2015-11-29 02:00:00,35.033955,85.82889
2015-11-29 04:00:00,35.829174,84.13359
2015-11-29 06:00:00,36.62439,82.438286
2015-11-29 08:00:00,37.435814,79.59623
2015-11-29 10:00:00,38.247242,76.754166
2015-11-29 12:00:00,39.058666,73.91211
2015-11-29 14:00:00,40.10484,71.17993
2015-11-29 16:00:00,41.151012,68.44775
2015-11-29 18:00:00,42.197186,65.71557
2015-11-29 20:00:00,43.449932,66.924385
2015-11-29 22:00:00,44.70268,68.1332
2015-11-30 00:00:00,45.955425,69.34202
2015-11-30 02:00:00,45.773163,72.21544
2015-11-30 04:00:00,45.590897,75.08887
2015-11-30 06:00:00,45.408634,77.96229
2015-11-30 08:00:00,46.982723,79.52028
2015-11-30 10:00:00,48.556816,81.07826
2015-11-30 12:00:00,50.130905,82.63625
2015-11-30 14:00:00,50.851604,85.67531
2015-11-30 16:00:00,51.572304,88.71436
2015-11-30 18:00:00,52.293003,91.75342
2015-11-30 20:00:00,53.317757,91.84462
