# MERRA2 Outputs for Comparison with SupDARN MSTID Index
# MERRA2 Run V. Lynn Harvey
# Data re-processed by Nathaniel Frissell, nathaniel.frissell@scranton.edu
#
# radar: kap
# lat: 55.5
# lon: -85.0
# season: 20111101_20120501
#
datetime_ut,U_10HPA,U_1HPA
2011-11-01 00:00:00,10.318041,24.145542
2011-11-01 02:00:00,10.015947,23.52668
2011-11-01 04:00:00,9.713854,22.907818
2011-11-01 06:00:00,9.41176,22.288956
2011-11-01 08:00:00,9.600441,18.527805
2011-11-01 10:00:00,9.789123,14.766655
2011-11-01 12:00:00,9.977803,11.005505
2011-11-01 14:00:00,9.837018,8.205124
2011-11-01 16:00:00,9.696233,5.404743
2011-11-01 18:00:00,9.555448,2.6043622
2011-11-01 20:00:00,10.115764,2.53026
2011-11-01 22:00:00,10.676081,2.4561577
2011-11-02 00:00:00,11.236397,2.3820555
2011-11-02 02:00:00,10.548698,1.8166595
2011-11-02 04:00:00,9.861,1.2512635
2011-11-02 06:00:00,9.173302,0.6858674
2011-11-02 08:00:00,9.345947,2.752453
2011-11-02 10:00:00,9.518593,4.819039
2011-11-02 12:00:00,9.691238,6.8856244
2011-11-02 14:00:00,9.919673,7.6043653
2011-11-02 16:00:00,10.1481085,8.323107
2011-11-02 18:00:00,10.376543,9.041847
2011-11-02 20:00:00,10.268339,10.529723
2011-11-02 22:00:00,10.160136,12.017598
2011-11-03 00:00:00,10.051932,13.505474
2011-11-03 02:00:00,9.88031,11.9166
2011-11-03 04:00:00,9.708688,10.327726
2011-11-03 06:00:00,9.5370655,8.7388525
2011-11-03 08:00:00,10.087101,8.939884
2011-11-03 10:00:00,10.637136,9.140917
2011-11-03 12:00:00,11.187172,9.3419485
2011-11-03 14:00:00,11.335279,10.245444
2011-11-03 16:00:00,11.483386,11.148941
2011-11-03 18:00:00,11.631494,12.052437
2011-11-03 20:00:00,11.94594,12.225371
2011-11-03 22:00:00,12.260386,12.398306
2011-11-04 00:00:00,12.574833,12.57124
2011-11-04 02:00:00,12.635281,11.113846
2011-11-04 04:00:00,12.695728,9.656451
2011-11-04 06:00:00,12.756176,8.199057
2011-11-04 08:00:00,11.6173,6.0236063
2011-11-04 10:00:00,10.478423,3.848156
2011-11-04 12:00:00,9.339547,1.6727055
2011-11-04 14:00:00,10.131129,3.5023167
2011-11-04 16:00:00,10.922712,5.331928
2011-11-04 18:00:00,11.714294,7.161539
2011-11-04 20:00:00,11.465117,8.584146
2011-11-04 22:00:00,11.2159395,10.006751
2011-11-05 00:00:00,10.966763,11.429358
2011-11-05 02:00:00,10.470004,10.094142
2011-11-05 04:00:00,9.973246,8.758926
2011-11-05 06:00:00,9.476487,7.4237113
2011-11-05 08:00:00,9.518086,6.427385
2011-11-05 10:00:00,9.559687,5.431059
2011-11-05 12:00:00,9.601286,4.4347324
2011-11-05 14:00:00,9.581983,6.4000626
2011-11-05 16:00:00,9.562678,8.365393
2011-11-05 18:00:00,9.543375,10.330723
2011-11-05 20:00:00,10.65918,13.059531
2011-11-05 22:00:00,11.774983,15.788339
2011-11-06 00:00:00,12.890788,18.517147
2011-11-06 02:00:00,12.68127,16.627502
2011-11-06 04:00:00,12.471751,14.737859
2011-11-06 06:00:00,12.262233,12.848214
2011-11-06 08:00:00,12.064919,14.223438
2011-11-06 10:00:00,11.867607,15.598662
2011-11-06 12:00:00,11.670294,16.973886
2011-11-06 14:00:00,12.433197,17.349663
2011-11-06 16:00:00,13.1961,17.72544
2011-11-06 18:00:00,13.959003,18.101215
2011-11-06 20:00:00,13.371027,19.370975
2011-11-06 22:00:00,12.7830515,20.640734
2011-11-07 00:00:00,12.195075,21.910494
2011-11-07 02:00:00,11.973033,20.475517
2011-11-07 04:00:00,11.750992,19.040543
2011-11-07 06:00:00,11.52895,17.605566
2011-11-07 08:00:00,12.146355,17.404564
2011-11-07 10:00:00,12.763761,17.203564
2011-11-07 12:00:00,13.3811655,17.002562
2011-11-07 14:00:00,13.390266,18.531097
2011-11-07 16:00:00,13.399367,20.059635
2011-11-07 18:00:00,13.408468,21.588171
2011-11-07 20:00:00,13.638713,23.297789
2011-11-07 22:00:00,13.868958,25.007404
2011-11-08 00:00:00,14.099203,26.717022
2011-11-08 02:00:00,14.438101,25.293304
2011-11-08 04:00:00,14.776999,23.869587
2011-11-08 06:00:00,15.115897,22.44587
2011-11-08 08:00:00,14.513109,21.732494
2011-11-08 10:00:00,13.91032,21.019117
2011-11-08 12:00:00,13.307532,20.305742
2011-11-08 14:00:00,14.780011,20.22735
2011-11-08 16:00:00,16.25249,20.148956
2011-11-08 18:00:00,17.724968,20.070564
2011-11-08 20:00:00,17.133,22.255571
2011-11-08 22:00:00,16.541033,24.44058
2011-11-09 00:00:00,15.949064,26.625587
2011-11-09 02:00:00,16.619284,20.499277
2011-11-09 04:00:00,17.289505,14.372966
2011-11-09 06:00:00,17.959724,8.2466545
2011-11-09 08:00:00,17.671165,10.267216
2011-11-09 10:00:00,17.382608,12.287778
2011-11-09 12:00:00,17.09405,14.308339
2011-11-09 14:00:00,17.975424,18.251553
2011-11-09 16:00:00,18.8568,22.194767
2011-11-09 18:00:00,19.738174,26.137981
2011-11-09 20:00:00,20.068027,30.213167
2011-11-09 22:00:00,20.397882,34.288353
2011-11-10 00:00:00,20.727736,38.36354
2011-11-10 02:00:00,20.381565,32.683273
2011-11-10 04:00:00,20.035397,27.003008
2011-11-10 06:00:00,19.689226,21.32274
2011-11-10 08:00:00,20.534765,15.910802
2011-11-10 10:00:00,21.380306,10.498862
2011-11-10 12:00:00,22.225845,5.0869236
2011-11-10 14:00:00,22.402315,0.39184728
