# MERRA2 Outputs for Comparison with SupDARN MSTID Index
# MERRA2 Run V. Lynn Harvey
# Data re-processed by Nathaniel Frissell, nathaniel.frissell@scranton.edu
#
# radar: pgr
# lat: 58.0
# lon: -123.5
# season: 20211101_20220501
#
datetime_ut,U_10HPA,U_1HPA
2021-11-01 00:00:00,4.134062,29.584185
2021-11-01 02:00:00,3.5473337,26.18245
2021-11-01 04:00:00,2.9606056,22.780716
2021-11-01 06:00:00,2.3738775,19.37898
2021-11-01 08:00:00,2.55906,20.974417
2021-11-01 10:00:00,2.744243,22.569855
2021-11-01 12:00:00,2.9294255,24.16529
2021-11-01 14:00:00,3.1566076,22.905823
2021-11-01 16:00:00,3.38379,21.646357
2021-11-01 18:00:00,3.6109722,20.386889
2021-11-01 20:00:00,4.4167266,21.213287
2021-11-01 22:00:00,5.222481,22.039684
2021-11-02 00:00:00,6.028235,22.866083
2021-11-02 02:00:00,5.707585,19.842436
2021-11-02 04:00:00,5.3869348,16.81879
2021-11-02 06:00:00,5.0662847,13.795143
2021-11-02 08:00:00,5.4585776,12.423938
2021-11-02 10:00:00,5.850871,11.052732
2021-11-02 12:00:00,6.243164,9.681527
2021-11-02 14:00:00,5.3436365,8.661623
2021-11-02 16:00:00,4.444109,7.641718
2021-11-02 18:00:00,3.5445814,6.6218133
2021-11-02 20:00:00,5.142753,9.084393
2021-11-02 22:00:00,6.7409244,11.546972
2021-11-03 00:00:00,8.339096,14.009551
2021-11-03 02:00:00,8.033605,11.764294
2021-11-03 04:00:00,7.7281127,9.519036
2021-11-03 06:00:00,7.422621,7.2737784
2021-11-03 08:00:00,7.8831105,9.097395
2021-11-03 10:00:00,8.3436,10.921012
2021-11-03 12:00:00,8.80409,12.744629
2021-11-03 14:00:00,8.230591,11.963546
2021-11-03 16:00:00,7.657093,11.182463
2021-11-03 18:00:00,7.083595,10.40138
2021-11-03 20:00:00,7.7823124,13.607345
2021-11-03 22:00:00,8.4810295,16.813309
2021-11-04 00:00:00,9.179748,20.019274
2021-11-04 02:00:00,8.803379,19.402191
2021-11-04 04:00:00,8.427011,18.78511
2021-11-04 06:00:00,8.050642,18.168028
2021-11-04 08:00:00,8.319989,21.813732
2021-11-04 10:00:00,8.589336,25.459436
2021-11-04 12:00:00,8.858684,29.10514
2021-11-04 14:00:00,7.7782125,31.815527
2021-11-04 16:00:00,6.697741,34.525913
2021-11-04 18:00:00,5.61727,37.2363
2021-11-04 20:00:00,6.313969,39.15588
2021-11-04 22:00:00,7.010668,41.07546
2021-11-05 00:00:00,7.707367,42.995037
2021-11-05 02:00:00,7.3770194,41.692215
2021-11-05 04:00:00,7.046672,40.389397
2021-11-05 06:00:00,6.7163243,39.086575
2021-11-05 08:00:00,6.3645678,35.655025
2021-11-05 10:00:00,6.0128117,32.223476
2021-11-05 12:00:00,5.661055,28.791925
2021-11-05 14:00:00,4.4984317,29.617712
2021-11-05 16:00:00,3.335808,30.4435
2021-11-05 18:00:00,2.1731844,31.269287
2021-11-05 20:00:00,3.421494,31.31239
2021-11-05 22:00:00,4.6698036,31.35549
2021-11-06 00:00:00,5.918113,31.398592
2021-11-06 02:00:00,4.8782873,30.846544
2021-11-06 04:00:00,3.8384619,30.294497
2021-11-06 06:00:00,2.7986362,29.742449
2021-11-06 08:00:00,2.1798782,25.168022
2021-11-06 10:00:00,1.5611202,20.593596
2021-11-06 12:00:00,0.9423621,16.019169
2021-11-06 14:00:00,1.5310273,16.924381
2021-11-06 16:00:00,2.1196923,17.829592
2021-11-06 18:00:00,2.7083576,18.734804
2021-11-06 20:00:00,2.9275217,17.67488
2021-11-06 22:00:00,3.1466856,16.614956
2021-11-07 00:00:00,3.3658497,15.555031
2021-11-07 02:00:00,2.8299692,18.89135
2021-11-07 04:00:00,2.2940884,22.227667
2021-11-07 06:00:00,1.7582078,25.563986
2021-11-07 08:00:00,1.5118413,20.383224
2021-11-07 10:00:00,1.2654748,15.202462
2021-11-07 12:00:00,1.0191083,10.021701
2021-11-07 14:00:00,3.636009,13.67305
2021-11-07 16:00:00,6.2529097,17.324398
2021-11-07 18:00:00,8.86981,20.975748
2021-11-07 20:00:00,8.480906,20.764902
2021-11-07 22:00:00,8.092001,20.554054
2021-11-08 00:00:00,7.7030964,20.343208
2021-11-08 02:00:00,8.07013,20.258974
2021-11-08 04:00:00,8.437164,20.17474
2021-11-08 06:00:00,8.804198,20.090506
2021-11-08 08:00:00,11.193222,20.964428
2021-11-08 10:00:00,13.582245,21.838348
2021-11-08 12:00:00,15.971269,22.71227
2021-11-08 14:00:00,15.170054,24.24261
2021-11-08 16:00:00,14.368841,25.772953
2021-11-08 18:00:00,13.567627,27.303293
2021-11-08 20:00:00,14.786486,26.197487
2021-11-08 22:00:00,16.005344,25.091682
2021-11-09 00:00:00,17.224203,23.985876
2021-11-09 02:00:00,17.472878,26.207386
2021-11-09 04:00:00,17.72155,28.428896
2021-11-09 06:00:00,17.970224,30.650406
2021-11-09 08:00:00,19.453884,29.911676
2021-11-09 10:00:00,20.937546,29.172949
2021-11-09 12:00:00,22.421206,28.43422
2021-11-09 14:00:00,22.86479,30.839624
2021-11-09 16:00:00,23.308376,33.24503
2021-11-09 18:00:00,23.75196,35.650433
