# NASA OMNI Data for Comparison with SuperDARN MSTID Index
# Data re-processed by Nathaniel Frissell, nathaniel.frissell@scranton.edu
#
# radar: gbr
# lat: 58.4
# lon: -59.9
# season: 20191101_20200501
#
datetime_ut,DAILY_SUNSPOT_NO_,DAILY_F10.7_,1-H_DST_nT,1-H_AE_nT
2019-11-01 00:00:00,6.0,69.6,-10.0,
2019-11-01 02:00:00,6.0,69.6,-12.5,
2019-11-01 04:00:00,6.0,69.6,-10.0,
2019-11-01 06:00:00,6.0,69.6,-6.0,
2019-11-01 08:00:00,6.0,69.6,-3.0,
2019-11-01 10:00:00,6.0,69.6,-7.0,
2019-11-01 12:00:00,6.0,69.6,-7.0,
2019-11-01 14:00:00,6.0,69.6,-5.5,
2019-11-01 16:00:00,6.0,69.6,-7.5,
2019-11-01 18:00:00,6.0,69.6,-9.5,
2019-11-01 20:00:00,6.0,69.6,-10.0,
2019-11-01 22:00:00,6.0,69.6,-9.5,
2019-11-02 00:00:00,2.0,69.6,-9.0,
2019-11-02 02:00:00,2.0,69.6,-8.0,
2019-11-02 04:00:00,2.0,69.6,-5.0,
2019-11-02 06:00:00,2.0,69.6,-2.5,
2019-11-02 08:00:00,2.0,69.6,-5.0,
2019-11-02 10:00:00,2.0,69.6,-3.0,
2019-11-02 12:00:00,2.0,69.6,-4.0,
2019-11-02 14:00:00,2.0,69.6,-3.0,
2019-11-02 16:00:00,2.0,69.6,-3.5,
2019-11-02 18:00:00,2.0,69.6,-4.5,
2019-11-02 20:00:00,2.0,69.6,-1.5,
2019-11-02 22:00:00,2.0,69.6,0.0,
2019-11-03 00:00:00,0.0,68.3,-1.5,
2019-11-03 02:00:00,0.0,68.3,0.5,
2019-11-03 04:00:00,0.0,68.3,2.0,
2019-11-03 06:00:00,0.0,68.3,-2.0,
2019-11-03 08:00:00,0.0,68.3,-1.0,
2019-11-03 10:00:00,0.0,68.3,1.0,
2019-11-03 12:00:00,0.0,68.3,1.0,
2019-11-03 14:00:00,0.0,68.3,1.0,
2019-11-03 16:00:00,0.0,68.3,0.5,
