# NASA OMNI Data for Comparison with SuperDARN MSTID Index
# Data re-processed by Nathaniel Frissell, nathaniel.frissell@scranton.edu
#
# radar: fhw
# lat: 43.3
# lon: -102.7
# season: 20181101_20190501
#
datetime_ut,DAILY_SUNSPOT_NO_,DAILY_F10.7_,1-H_DST_nT,1-H_AE_nT
2018-11-01 00:00:00,0.0,65.8,6.5,27.0
2018-11-01 02:00:00,0.0,65.8,6.0,26.0
2018-11-01 04:00:00,0.0,65.8,9.0,55.0
2018-11-01 06:00:00,0.0,65.8,9.0,209.5
2018-11-01 08:00:00,0.0,65.8,0.0,286.5
2018-11-01 10:00:00,0.0,65.8,-2.0,134.5
2018-11-01 12:00:00,0.0,65.8,-5.0,73.5
2018-11-01 14:00:00,0.0,65.8,-3.5,67.5
2018-11-01 16:00:00,0.0,65.8,2.5,37.0
2018-11-01 18:00:00,0.0,65.8,1.0,24.0
2018-11-01 20:00:00,0.0,65.8,-1.0,30.5
2018-11-01 22:00:00,0.0,65.8,1.5,26.5
2018-11-02 00:00:00,0.0,66.5,2.5,52.5
2018-11-02 02:00:00,0.0,66.5,4.5,21.5
2018-11-02 04:00:00,0.0,66.5,5.0,13.5
2018-11-02 06:00:00,0.0,66.5,7.0,49.0
2018-11-02 08:00:00,0.0,66.5,8.5,110.0
2018-11-02 10:00:00,0.0,66.5,6.0,88.5
2018-11-02 12:00:00,0.0,66.5,1.0,115.5
2018-11-02 14:00:00,0.0,66.5,3.5,73.0
2018-11-02 16:00:00,0.0,66.5,5.0,107.5
2018-11-02 18:00:00,0.0,66.5,6.5,30.0
2018-11-02 20:00:00,0.0,66.5,7.0,23.0
2018-11-02 22:00:00,0.0,66.5,11.0,20.0
2018-11-03 00:00:00,0.0,66.3,7.5,49.5
2018-11-03 02:00:00,0.0,66.3,2.0,148.0
2018-11-03 04:00:00,0.0,66.3,1.5,60.5
2018-11-03 06:00:00,0.0,66.3,3.5,24.5
2018-11-03 08:00:00,0.0,66.3,3.0,25.0
2018-11-03 10:00:00,0.0,66.3,4.0,46.0
2018-11-03 12:00:00,0.0,66.3,1.5,36.5
2018-11-03 14:00:00,0.0,66.3,4.0,44.5
2018-11-03 16:00:00,0.0,66.3,4.5,43.5
2018-11-03 18:00:00,0.0,66.3,1.0,35.5
2018-11-03 20:00:00,0.0,66.3,1.0,38.0
2018-11-03 22:00:00,0.0,66.3,6.0,75.5
2018-11-04 00:00:00,0.0,65.5,11.5,33.0
2018-11-04 02:00:00,0.0,65.5,13.0,29.0
2018-11-04 04:00:00,0.0,65.5,13.5,27.5
2018-11-04 06:00:00,0.0,65.5,16.5,37.5
2018-11-04 08:00:00,0.0,65.5,15.5,28.0
2018-11-04 10:00:00,0.0,65.5,10.5,53.0
2018-11-04 12:00:00,0.0,65.5,-1.5,287.5
2018-11-04 14:00:00,0.0,65.5,-12.0,379.0
2018-11-04 16:00:00,0.0,65.5,-21.0,522.5
2018-11-04 18:00:00,0.0,65.5,-35.0,759.5
2018-11-04 20:00:00,0.0,65.5,-23.0,638.5
2018-11-04 22:00:00,0.0,65.5,-10.5,425.0
2018-11-05 00:00:00,0.0,67.2,-13.5,414.0
2018-11-05 02:00:00,0.0,67.2,-14.0,144.0
2018-11-05 04:00:00,0.0,67.2,-42.0,888.5
2018-11-05 06:00:00,0.0,67.2,-48.0,478.0
2018-11-05 08:00:00,0.0,67.2,-46.0,596.0
2018-11-05 10:00:00,0.0,67.2,-43.5,886.5
2018-11-05 12:00:00,0.0,67.2,-48.0,427.0
2018-11-05 14:00:00,0.0,67.2,-38.5,439.5
2018-11-05 16:00:00,0.0,67.2,-45.0,675.5
2018-11-05 18:00:00,0.0,67.2,-43.0,513.0
2018-11-05 20:00:00,0.0,67.2,-35.5,132.0
2018-11-05 22:00:00,0.0,67.2,-29.0,137.5
2018-11-06 00:00:00,0.0,67.6,-22.0,98.0
2018-11-06 02:00:00,0.0,67.6,-22.0,165.5
2018-11-06 04:00:00,0.0,67.6,-22.0,69.0
2018-11-06 06:00:00,0.0,67.6,-29.0,98.5
2018-11-06 08:00:00,0.0,67.6,-34.5,339.5
2018-11-06 10:00:00,0.0,67.6,-35.5,293.0
2018-11-06 12:00:00,0.0,67.6,-32.0,244.0
2018-11-06 14:00:00,0.0,67.6,-27.5,159.0
2018-11-06 16:00:00,0.0,67.6,-23.0,129.0
2018-11-06 18:00:00,0.0,67.6,-19.5,36.5
2018-11-06 20:00:00,0.0,67.6,-13.0,27.5
2018-11-06 22:00:00,0.0,67.6,-12.5,149.0
2018-11-07 00:00:00,0.0,67.5,-14.5,141.5
2018-11-07 02:00:00,0.0,67.5,-18.0,286.5
2018-11-07 04:00:00,0.0,67.5,-22.5,215.5
2018-11-07 06:00:00,0.0,67.5,-22.5,310.0
2018-11-07 08:00:00,0.0,67.5,-23.0,132.5
2018-11-07 10:00:00,0.0,67.5,-21.5,41.0
2018-11-07 12:00:00,0.0,67.5,-19.0,100.0
2018-11-07 14:00:00,0.0,67.5,-17.5,237.0
2018-11-07 16:00:00,0.0,67.5,-13.0,63.5
2018-11-07 18:00:00,0.0,67.5,-9.0,55.0
2018-11-07 20:00:00,0.0,67.5,-15.5,289.5
2018-11-07 22:00:00,0.0,67.5,-16.5,78.0
2018-11-08 00:00:00,11.0,68.2,-9.5,63.0
2018-11-08 02:00:00,11.0,68.2,-14.5,261.0
2018-11-08 04:00:00,11.0,68.2,-11.5,56.5
2018-11-08 06:00:00,11.0,68.2,-14.0,75.0
2018-11-08 08:00:00,11.0,68.2,-17.5,243.5
2018-11-08 10:00:00,11.0,68.2,-23.0,414.5
2018-11-08 12:00:00,11.0,68.2,-18.0,48.5
2018-11-08 14:00:00,11.0,68.2,-16.0,95.5
2018-11-08 16:00:00,11.0,68.2,-19.5,130.5
2018-11-08 18:00:00,11.0,68.2,-17.0,93.0
2018-11-08 20:00:00,11.0,68.2,-15.0,41.5
2018-11-08 22:00:00,11.0,68.2,-16.5,68.5
2018-11-09 00:00:00,11.0,67.6,-15.5,55.0
2018-11-09 02:00:00,11.0,67.6,-13.5,33.5
2018-11-09 04:00:00,11.0,67.6,-13.0,27.0
