# NASA OMNI Data for Comparison with SuperDARN MSTID Index
# Data re-processed by Nathaniel Frissell, nathaniel.frissell@scranton.edu
#
# radar: sas
# lat: 56.1
# lon: -103.8
# season: 20151101_20160501
#
datetime_ut,DAILY_SUNSPOT_NO_,DAILY_F10.7_,1-H_DST_nT,1-H_AE_nT
2015-11-01 00:00:00,86.0,122.4,-16.5,95.0
2015-11-01 02:00:00,86.0,122.4,-13.0,239.5
2015-11-01 04:00:00,86.0,122.4,-14.0,227.5
2015-11-01 06:00:00,86.0,122.4,-27.5,390.0
2015-11-01 08:00:00,86.0,122.4,-25.0,285.0
2015-11-01 10:00:00,86.0,122.4,-36.0,411.0
2015-11-01 12:00:00,86.0,122.4,-33.5,362.0
2015-11-01 14:00:00,86.0,122.4,-31.5,428.5
2015-11-01 16:00:00,86.0,122.4,-32.0,411.0
2015-11-01 18:00:00,86.0,122.4,-26.0,342.0
2015-11-01 20:00:00,86.0,122.4,-17.5,105.0
2015-11-01 22:00:00,86.0,122.4,-12.5,46.0
2015-11-02 00:00:00,104.0,120.1,-7.5,48.0
2015-11-02 02:00:00,104.0,120.1,0.5,48.5
2015-11-02 04:00:00,104.0,120.1,-3.0,48.5
2015-11-02 06:00:00,104.0,120.1,-3.5,67.5
2015-11-02 08:00:00,104.0,120.1,-2.5,64.0
2015-11-02 10:00:00,104.0,120.1,-4.0,55.5
2015-11-02 12:00:00,104.0,120.1,0.0,91.5
2015-11-02 14:00:00,104.0,120.1,-12.0,341.5
2015-11-02 16:00:00,104.0,120.1,-12.0,86.5
2015-11-02 18:00:00,104.0,120.1,-10.0,44.0
2015-11-02 20:00:00,104.0,120.1,-7.5,42.0
2015-11-02 22:00:00,104.0,120.1,2.0,47.0
2015-11-03 00:00:00,84.0,122.2,17.0,66.5
2015-11-03 02:00:00,84.0,122.2,25.5,228.5
2015-11-03 04:00:00,84.0,122.2,19.0,186.5
2015-11-03 06:00:00,84.0,122.2,30.0,193.5
2015-11-03 08:00:00,84.0,122.2,-27.5,311.0
2015-11-03 10:00:00,84.0,122.2,-37.0,539.5
2015-11-03 12:00:00,84.0,122.2,-47.0,521.0
2015-11-03 14:00:00,84.0,122.2,-38.5,411.5
2015-11-03 16:00:00,84.0,122.2,-34.5,388.0
2015-11-03 18:00:00,84.0,122.2,-43.5,928.5
2015-11-03 20:00:00,84.0,122.2,-43.5,545.5
2015-11-03 22:00:00,84.0,122.2,-41.0,132.0
2015-11-04 00:00:00,105.0,112.0,-45.5,604.5
2015-11-04 02:00:00,105.0,112.0,-38.5,627.5
2015-11-04 04:00:00,105.0,112.0,-20.5,488.5
2015-11-04 06:00:00,105.0,112.0,-38.0,927.5
2015-11-04 08:00:00,105.0,112.0,-36.5,679.0
