# NASA OMNI Data for Comparison with SuperDARN MSTID Index
# Data re-processed by Nathaniel Frissell, nathaniel.frissell@scranton.edu
#
# radar: fhw
# lat: 43.3
# lon: -102.7
# season: 20121101_20130501
#
datetime_ut,DAILY_SUNSPOT_NO_,DAILY_F10.7_,1-H_DST_nT,1-H_AE_nT
2012-11-01 00:00:00,47.0,96.8,16.5,134.5
2012-11-01 02:00:00,47.0,96.8,20.0,99.5
2012-11-01 04:00:00,47.0,96.8,5.0,253.5
2012-11-01 06:00:00,47.0,96.8,-22.0,398.0
2012-11-01 08:00:00,47.0,96.8,-42.5,519.5
2012-11-01 10:00:00,47.0,96.8,-48.5,674.5
2012-11-01 12:00:00,47.0,96.8,-59.0,848.0
2012-11-01 14:00:00,47.0,96.8,-55.5,1231.0
2012-11-01 16:00:00,47.0,96.8,-53.5,730.0
2012-11-01 18:00:00,47.0,96.8,-59.0,719.5
2012-11-01 20:00:00,47.0,96.8,-62.0,589.5
2012-11-01 22:00:00,47.0,96.8,-48.0,245.5
2012-11-02 00:00:00,45.0,94.9,-39.0,140.5
2012-11-02 02:00:00,45.0,94.9,-37.0,74.5
2012-11-02 04:00:00,45.0,94.9,-26.0,72.5
2012-11-02 06:00:00,45.0,94.9,-22.5,44.5
2012-11-02 08:00:00,45.0,94.9,-21.0,32.5
2012-11-02 10:00:00,45.0,94.9,-28.0,27.0
2012-11-02 12:00:00,45.0,94.9,-29.5,26.0
2012-11-02 14:00:00,45.0,94.9,-21.5,26.5
2012-11-02 16:00:00,45.0,94.9,-17.5,30.5
2012-11-02 18:00:00,45.0,94.9,-18.5,61.0
2012-11-02 20:00:00,45.0,94.9,-23.5,114.0
2012-11-02 22:00:00,45.0,94.9,-19.0,48.0
2012-11-03 00:00:00,44.0,91.8,-17.0,13.0
2012-11-03 02:00:00,44.0,91.8,-15.5,18.0
2012-11-03 04:00:00,44.0,91.8,-13.0,21.5
2012-11-03 06:00:00,44.0,91.8,-11.5,27.5
2012-11-03 08:00:00,44.0,91.8,-10.0,27.0
2012-11-03 10:00:00,44.0,91.8,-10.0,24.5
2012-11-03 12:00:00,44.0,91.8,-8.5,26.5
2012-11-03 14:00:00,44.0,91.8,-9.5,62.5
2012-11-03 16:00:00,44.0,91.8,-12.0,277.0
2012-11-03 18:00:00,44.0,91.8,-14.0,131.0
2012-11-03 20:00:00,44.0,91.8,-15.5,80.0
2012-11-03 22:00:00,44.0,91.8,-14.5,19.5
2012-11-04 00:00:00,45.0,93.4,-9.5,18.5
2012-11-04 02:00:00,45.0,93.4,-9.0,56.5
2012-11-04 04:00:00,45.0,93.4,-8.5,48.5
2012-11-04 06:00:00,45.0,93.4,-7.5,49.5
2012-11-04 08:00:00,45.0,93.4,-11.0,52.0
2012-11-04 10:00:00,45.0,93.4,-12.0,39.5
2012-11-04 12:00:00,45.0,93.4,-14.0,119.0
2012-11-04 14:00:00,45.0,93.4,-11.0,44.5
2012-11-04 16:00:00,45.0,93.4,-8.0,99.0
2012-11-04 18:00:00,45.0,93.4,-7.5,51.5
2012-11-04 20:00:00,45.0,93.4,-8.5,21.0
2012-11-04 22:00:00,45.0,93.4,-7.0,18.5
2012-11-05 00:00:00,51.0,94.9,-6.5,18.0
2012-11-05 02:00:00,51.0,94.9,-4.5,19.5
2012-11-05 04:00:00,51.0,94.9,-3.0,30.5
2012-11-05 06:00:00,51.0,94.9,-1.0,67.0
2012-11-05 08:00:00,51.0,94.9,-4.5,100.5
2012-11-05 10:00:00,51.0,94.9,-4.0,68.0
2012-11-05 12:00:00,51.0,94.9,-4.5,83.5
2012-11-05 14:00:00,51.0,94.9,-8.5,193.0
2012-11-05 16:00:00,51.0,94.9,-13.5,338.5
2012-11-05 18:00:00,51.0,94.9,-15.0,137.5
2012-11-05 20:00:00,51.0,94.9,-15.5,111.0
2012-11-05 22:00:00,51.0,94.9,-10.5,55.0
2012-11-06 00:00:00,47.0,96.9,-8.5,53.5
2012-11-06 02:00:00,47.0,96.9,-5.5,33.0
2012-11-06 04:00:00,47.0,96.9,-1.5,33.0
