# NASA OMNI Data for Comparison with SuperDARN MSTID Index
# Data re-processed by Nathaniel Frissell, nathaniel.frissell@scranton.edu
#
# radar: cvw
# lat: 47.9
# lon: -123.4
# season: 20101101_20110501
#
datetime_ut,DAILY_SUNSPOT_NO_,DAILY_F10.7_,1-H_DST_nT,1-H_AE_nT
2010-11-01 00:00:00,21.0,77.9,4.5,17.5
2010-11-01 02:00:00,21.0,77.9,8.5,14.5
2010-11-01 04:00:00,21.0,77.9,3.0,15.0
2010-11-01 06:00:00,21.0,77.9,7.0,19.0
2010-11-01 08:00:00,21.0,77.9,10.5,22.5
2010-11-01 10:00:00,21.0,77.9,8.0,31.5
2010-11-01 12:00:00,21.0,77.9,2.5,27.0
2010-11-01 14:00:00,21.0,77.9,0.0,27.0
2010-11-01 16:00:00,21.0,77.9,-1.5,31.5
2010-11-01 18:00:00,21.0,77.9,-3.5,26.0
2010-11-01 20:00:00,21.0,77.9,-6.5,31.0
2010-11-01 22:00:00,21.0,77.9,-4.0,29.5
2010-11-02 00:00:00,18.0,77.7,-1.0,17.5
2010-11-02 02:00:00,18.0,77.7,2.0,11.0
2010-11-02 04:00:00,18.0,77.7,3.5,12.5
2010-11-02 06:00:00,18.0,77.7,2.5,37.0
2010-11-02 08:00:00,18.0,77.7,-7.0,207.0
2010-11-02 10:00:00,18.0,77.7,-6.0,108.5
2010-11-02 12:00:00,18.0,77.7,-4.5,72.5
2010-11-02 14:00:00,18.0,77.7,-6.5,106.5
2010-11-02 16:00:00,18.0,77.7,-7.0,45.0
2010-11-02 18:00:00,18.0,77.7,-6.5,40.5
2010-11-02 20:00:00,18.0,77.7,-6.0,20.0
2010-11-02 22:00:00,18.0,77.7,-5.5,19.5
2010-11-03 00:00:00,18.0,77.2,-9.0,39.5
2010-11-03 02:00:00,18.0,77.2,-9.5,74.0
2010-11-03 04:00:00,18.0,77.2,-13.0,120.5
2010-11-03 06:00:00,18.0,77.2,-12.5,78.5
2010-11-03 08:00:00,18.0,77.2,-15.0,130.0
