# NASA OMNI Data for Comparison with SuperDARN MSTID Index
# Data re-processed by Nathaniel Frissell, nathaniel.frissell@scranton.edu
#
# radar: gbr
# lat: 58.4
# lon: -59.9
# season: 20201101_20210501
#
datetime_ut,DAILY_SUNSPOT_NO_,DAILY_F10.7_,1-H_DST_nT,1-H_AE_nT
2020-11-01 00:00:00,3.0,76.1,-12.0,
2020-11-01 02:00:00,3.0,76.1,-6.5,
2020-11-01 04:00:00,3.0,76.1,-7.0,
2020-11-01 06:00:00,3.0,76.1,-7.5,
2020-11-01 08:00:00,3.0,76.1,-12.0,
2020-11-01 10:00:00,3.0,76.1,-9.5,
2020-11-01 12:00:00,3.0,76.1,-5.5,
2020-11-01 14:00:00,3.0,76.1,-15.5,
2020-11-01 16:00:00,3.0,76.1,-24.0,
2020-11-01 18:00:00,3.0,76.1,-26.5,
2020-11-01 20:00:00,3.0,76.1,-24.5,
2020-11-01 22:00:00,3.0,76.1,-19.0,
2020-11-02 00:00:00,8.0,80.3,-12.5,
2020-11-02 02:00:00,8.0,80.3,-10.5,
2020-11-02 04:00:00,8.0,80.3,-10.5,
2020-11-02 06:00:00,8.0,80.3,-12.5,
2020-11-02 08:00:00,8.0,80.3,-7.5,
2020-11-02 10:00:00,8.0,80.3,-8.0,
2020-11-02 12:00:00,8.0,80.3,-7.5,
2020-11-02 14:00:00,8.0,80.3,-8.0,
2020-11-02 16:00:00,8.0,80.3,-8.0,
2020-11-02 18:00:00,8.0,80.3,-11.5,
2020-11-02 20:00:00,8.0,80.3,-13.5,
2020-11-02 22:00:00,8.0,80.3,-14.0,
2020-11-03 00:00:00,16.0,81.6,-9.5,
2020-11-03 02:00:00,16.0,81.6,-4.5,
2020-11-03 04:00:00,16.0,81.6,-4.0,
2020-11-03 06:00:00,16.0,81.6,-5.0,
2020-11-03 08:00:00,16.0,81.6,-5.0,
2020-11-03 10:00:00,16.0,81.6,-5.5,
2020-11-03 12:00:00,16.0,81.6,-4.5,
2020-11-03 14:00:00,16.0,81.6,-4.0,
2020-11-03 16:00:00,16.0,81.6,-5.0,
2020-11-03 18:00:00,16.0,81.6,-6.5,
2020-11-03 20:00:00,16.0,81.6,-9.0,
2020-11-03 22:00:00,16.0,81.6,-7.0,
2020-11-04 00:00:00,24.0,86.6,-4.5,
2020-11-04 02:00:00,24.0,86.6,-3.5,
2020-11-04 04:00:00,24.0,86.6,-5.5,
2020-11-04 06:00:00,24.0,86.6,-4.0,
2020-11-04 08:00:00,24.0,86.6,-4.0,
2020-11-04 10:00:00,24.0,86.6,-2.5,
2020-11-04 12:00:00,24.0,86.6,-1.0,
2020-11-04 14:00:00,24.0,86.6,3.0,
2020-11-04 16:00:00,24.0,86.6,5.5,
2020-11-04 18:00:00,24.0,86.6,5.5,
2020-11-04 20:00:00,24.0,86.6,4.5,
2020-11-04 22:00:00,24.0,86.6,3.0,
2020-11-05 00:00:00,31.0,89.1,0.0,
2020-11-05 02:00:00,31.0,89.1,0.0,
2020-11-05 04:00:00,31.0,89.1,2.5,
2020-11-05 06:00:00,31.0,89.1,4.5,
2020-11-05 08:00:00,31.0,89.1,4.0,
2020-11-05 10:00:00,31.0,89.1,4.5,
2020-11-05 12:00:00,31.0,89.1,7.0,
2020-11-05 14:00:00,31.0,89.1,14.0,
2020-11-05 16:00:00,31.0,89.1,17.5,
2020-11-05 18:00:00,31.0,89.1,14.0,
2020-11-05 20:00:00,31.0,89.1,14.0,
2020-11-05 22:00:00,31.0,89.1,7.5,
2020-11-06 00:00:00,41.0,92.1,8.5,
2020-11-06 02:00:00,41.0,92.1,8.5,
2020-11-06 04:00:00,41.0,92.1,10.0,
2020-11-06 06:00:00,41.0,92.1,4.0,
2020-11-06 08:00:00,41.0,92.1,3.5,
2020-11-06 10:00:00,41.0,92.1,-1.0,
2020-11-06 12:00:00,41.0,92.1,0.0,
2020-11-06 14:00:00,41.0,92.1,2.0,
2020-11-06 16:00:00,41.0,92.1,-5.0,
2020-11-06 18:00:00,41.0,92.1,-6.0,
2020-11-06 20:00:00,41.0,92.1,-5.0,
2020-11-06 22:00:00,41.0,92.1,-6.0,
2020-11-07 00:00:00,38.0,88.9,-3.5,
2020-11-07 02:00:00,38.0,88.9,-1.0,
2020-11-07 04:00:00,38.0,88.9,3.0,
2020-11-07 06:00:00,38.0,88.9,1.0,
2020-11-07 08:00:00,38.0,88.9,-4.5,
2020-11-07 10:00:00,38.0,88.9,-8.0,
2020-11-07 12:00:00,38.0,88.9,-4.5,
2020-11-07 14:00:00,38.0,88.9,-2.5,
2020-11-07 16:00:00,38.0,88.9,-5.5,
