# NASA OMNI Data for Comparison with SuperDARN MSTID Index
# Data re-processed by Nathaniel Frissell, nathaniel.frissell@scranton.edu
#
# radar: gbr
# lat: 58.4
# lon: -59.9
# season: 20131101_20140501
#
datetime_ut,DAILY_SUNSPOT_NO_,DAILY_F10.7_,1-H_DST_nT,1-H_AE_nT
2013-11-01 00:00:00,106.0,144.2,-29.0,128.5
2013-11-01 02:00:00,106.0,144.2,-26.5,305.0
2013-11-01 04:00:00,106.0,144.2,-28.5,225.0
2013-11-01 06:00:00,106.0,144.2,-29.0,139.0
2013-11-01 08:00:00,106.0,144.2,-31.5,203.5
2013-11-01 10:00:00,106.0,144.2,-26.5,178.5
2013-11-01 12:00:00,106.0,144.2,-22.0,211.5
2013-11-01 14:00:00,106.0,144.2,-21.5,151.0
2013-11-01 16:00:00,106.0,144.2,-15.0,44.0
2013-11-01 18:00:00,106.0,144.2,-16.5,196.5
2013-11-01 20:00:00,106.0,144.2,-17.5,83.5
2013-11-01 22:00:00,106.0,144.2,-11.5,42.5
2013-11-02 00:00:00,101.0,139.4,-12.5,69.0
2013-11-02 02:00:00,101.0,139.4,-12.0,44.5
2013-11-02 04:00:00,101.0,139.4,-12.0,102.0
2013-11-02 06:00:00,101.0,139.4,-13.0,102.5
2013-11-02 08:00:00,101.0,139.4,-11.5,51.5
2013-11-02 10:00:00,101.0,139.4,-2.0,72.0
2013-11-02 12:00:00,101.0,139.4,-0.5,39.0
2013-11-02 14:00:00,101.0,139.4,-5.0,30.0
2013-11-02 16:00:00,101.0,139.4,-4.0,94.5
2013-11-02 18:00:00,101.0,139.4,-2.5,33.5
2013-11-02 20:00:00,101.0,139.4,-5.5,48.5
2013-11-02 22:00:00,101.0,139.4,-8.5,167.0
2013-11-03 00:00:00,123.0,141.1,-12.5,129.0
2013-11-03 02:00:00,123.0,141.1,-11.5,142.5
2013-11-03 04:00:00,123.0,141.1,-16.0,172.5
2013-11-03 06:00:00,123.0,141.1,-18.5,228.5
2013-11-03 08:00:00,123.0,141.1,-15.5,87.0
2013-11-03 10:00:00,123.0,141.1,-10.0,118.5
2013-11-03 12:00:00,123.0,141.1,-3.0,41.5
2013-11-03 14:00:00,123.0,141.1,-2.5,38.0
2013-11-03 16:00:00,123.0,141.1,-1.5,35.5
2013-11-03 18:00:00,123.0,141.1,-3.5,101.0
2013-11-03 20:00:00,123.0,141.1,-4.5,200.0
2013-11-03 22:00:00,123.0,141.1,-12.0,59.0
2013-11-04 00:00:00,128.0,144.9,-11.0,22.0
2013-11-04 02:00:00,128.0,144.9,-9.5,17.5
2013-11-04 04:00:00,128.0,144.9,-13.0,59.0
2013-11-04 06:00:00,128.0,144.9,-13.5,124.0
2013-11-04 08:00:00,128.0,144.9,-11.5,58.0
2013-11-04 10:00:00,128.0,144.9,-19.5,201.0
2013-11-04 12:00:00,128.0,144.9,-13.5,113.0
2013-11-04 14:00:00,128.0,144.9,-13.0,200.5
2013-11-04 16:00:00,128.0,144.9,-10.5,295.0
2013-11-04 18:00:00,128.0,144.9,-7.0,147.0
2013-11-04 20:00:00,128.0,144.9,-8.0,100.5
2013-11-04 22:00:00,128.0,144.9,-9.0,53.5
2013-11-05 00:00:00,122.0,145.9,-12.5,68.0
2013-11-05 02:00:00,122.0,145.9,-13.0,45.0
2013-11-05 04:00:00,122.0,145.9,-17.0,61.0
2013-11-05 06:00:00,122.0,145.9,-18.5,74.5
2013-11-05 08:00:00,122.0,145.9,-25.0,104.0
2013-11-05 10:00:00,122.0,145.9,-18.5,146.5
2013-11-05 12:00:00,122.0,145.9,-14.5,115.0
2013-11-05 14:00:00,122.0,145.9,-10.5,76.0
2013-11-05 16:00:00,122.0,145.9,-6.0,106.0
2013-11-05 18:00:00,122.0,145.9,-2.5,45.5
2013-11-05 20:00:00,122.0,145.9,-2.5,69.5
2013-11-05 22:00:00,122.0,145.9,-1.5,55.5
2013-11-06 00:00:00,145.0,150.8,-3.0,19.5
2013-11-06 02:00:00,145.0,150.8,-1.5,16.5
2013-11-06 04:00:00,145.0,150.8,-3.0,29.0
2013-11-06 06:00:00,145.0,150.8,-4.5,54.5
2013-11-06 08:00:00,145.0,150.8,-7.0,78.5
2013-11-06 10:00:00,145.0,150.8,-2.5,38.0
