# SuperDARN MSTID Index Datafile
# Generated by Nathaniel Frissell, nathaniel.frissell@scranton.edu
# Generated on: 2023-04-22 21:08:55.229145 UTC
#
# Parameter: meanSubIntSpect_by_rtiCnt
#
# {'season': '20121101_20130501', 'radar': 'pgr', 'lat': 58.0, 'lon': -123.5}
# {'season': '20121101_20130501', 'radar': 'sas', 'lat': 56.1, 'lon': -103.8}
# {'season': '20121101_20130501', 'radar': 'kap', 'lat': 55.5, 'lon': -85.0}
# {'season': '20121101_20130501', 'radar': 'gbr', 'lat': 58.4, 'lon': -59.9}
# {'season': '20121101_20130501', 'radar': 'cvw', 'lat': 47.9, 'lon': -123.4}
# {'season': '20121101_20130501', 'radar': 'cve', 'lat': 46.4, 'lon': -114.6}
# {'season': '20121101_20130501', 'radar': 'fhw', 'lat': 43.3, 'lon': -102.7}
# {'season': '20121101_20130501', 'radar': 'fhe', 'lat': 42.5, 'lon': -95.0}
# {'season': '20121101_20130501', 'radar': 'bks', 'lat': 39.6, 'lon': -81.1}
# {'season': '20121101_20130501', 'radar': 'wal', 'lat': 41.8, 'lon': -72.2}
#
datetime,pgr,sas,cvw,cve,fhw,fhe,kap,gbr,bks,wal
2012-11-01 00:00:00,,,,,,,,,,
2012-11-01 10:00:00,,,,,,,,,,
2012-11-01 12:00:00,,,,,,,,,,0.008901764354066985
2012-11-01 14:00:00,,,,,,-0.017718237631341442,,,,0.012574959879287664
2012-11-01 16:00:00,,,,-0.08313963395009558,,-0.014119813602075608,,,-0.0012721244329770517,0.00036050997764410826
2012-11-01 18:00:00,-0.03508258679946435,0.0009142176280003537,,,,-0.012120398449864431,,,0.004190554855848022,0.00372867667226735
2012-11-01 20:00:00,-0.012872470745729206,0.005140667123351157,,,,-0.00610258162021637,,,,
2012-11-01 22:00:00,,,,,,,,,,
2012-11-02 00:00:00,,,,,,,,,,
2012-11-02 10:00:00,,,,,,,,,,
2012-11-02 12:00:00,,,,,,,,,,0.004362650567387517
2012-11-02 14:00:00,,,,,,0.020390687329392605,0.014517896987629897,,0.027484390601213996,0.004416502394036509
2012-11-02 16:00:00,,0.0029810120718550253,0.011076978802545445,0.006184270703418694,0.003247558183385769,0.008789408553330972,0.0008279584775305098,,0.001138741430275621,0.0027064550783636866
2012-11-02 18:00:00,0.008014390361090296,-0.0020747380593127704,0.00811885920966127,0.007173958881128875,0.011452611550684095,0.007288636836207622,0.0012104916218233209,,-0.0013942306461860673,0.004536649384275673
2012-11-02 20:00:00,0.008706862966629186,0.0014143386087572902,0.00041281004618750385,-0.005089386951889082,0.0018286188804122925,0.003235424401416875,,,,
2012-11-02 22:00:00,,,-0.006075442865496774,,,,,,,
2012-11-03 00:00:00,,,,,,,,,,
2012-11-03 10:00:00,,,,,,,,,,
2012-11-03 12:00:00,,,,,,,,,,0.004826484980675806
2012-11-03 14:00:00,,,,,,0.014508576257123757,0.004075301759515686,,0.014645675456529759,-0.003273195787739134
