# Reject Code Mapping
# Generated by Nathaniel Frissell, nathaniel.frissell@scranton.edu
#
# reject_code Explanations:
#  -1: Entry not present in this database.
#   0: Good Period (Not Rejected)
#   1: High Terminator Fraction (Dawn/Dusk in Observational Window
#   2: No Data
#   3: Poor Data Quality (including "Low RTI Fraction" and "Failed Quality Check")
#   4: Other (including "No RTI Fraction" and "No Terminator Fraction")
#
reject_from_mstid_2016,reject_to_mstid_GSMR_fitexfilter,count
-1,-1,0
-1,0,0
-1,1,119
-1,2,16
-1,3,51
-1,4,0
0,-1,7
0,0,3593
0,1,6
0,2,0
0,3,247
0,4,0
1,-1,122
1,0,48
1,1,3491
1,2,0
1,3,246
1,4,0
2,-1,13
2,0,0
2,1,1
2,2,212
2,3,51
2,4,0
3,-1,43
3,0,521
3,1,142
3,2,8
3,3,2108
3,4,0
4,-1,0
4,0,0
4,1,0
4,2,0
4,3,0
4,4,0
