# SuperDARN MSTID Index
# Generated by Nathaniel Frissell, nathaniel.frissell@scranton.edu
#
# season: 20171101_20180501
# radar: fhw
# lat: 43.3
# lon: -102.7
#
# reject_code Explanations:
#   0: Good Period (Not Rejected)
#   1: High Terminator Fraction (Dawn/Dusk in Observational Window
#   2: No Data
#   3: Poor Data Quality (including "Low RTI Fraction" and "Failed Quality Check")
#   4: Other (including "No RTI Fraction" and "No Terminator Fraction")
#
datetime_ut,slt,mlt,terminator_fraction,good_period,orig_rti_cnt,orig_rti_fraction,orig_rti_mean,orig_rti_median,orig_rti_possible,orig_rti_std,intSpect,meanSubIntSpect,intSpect_by_rtiCnt,meanSubIntSpect_by_rtiCnt,category_manu,reject_code
2017-11-01 00:00:00,17.426709735888817,16.904554463165343,0.993323811738134,True,12431.0,0.1023633069828722,11.339268484977042,10.327759742736816,121440.0,5.265246927843396,,,,,None,1
2017-11-01 14:00:00,7.426713155308757,7.2769919319455845,0.0,True,16330.0,0.6872895622895623,20.668270344129752,19.551608085632324,23760.0,9.304222326432933,1201.1024169921875,257.9129943847656,0.073551893263453,0.015793814720438802,mstid,0
2017-11-01 16:00:00,9.42678333548128,9.1637369460033,0.0,True,14452.0,0.7298989898989899,19.913600188962253,19.084290504455566,19800.0,8.782074700525145,1061.990966796875,118.80158996582031,0.07348401375566531,0.008220425544272094,mstid,0
2017-11-01 18:00:00,11.426873802247814,11.034291934955352,0.0,True,18291.0,0.7698232323232324,20.946293048630274,20.143653869628906,23760.0,8.862139732375825,1081.3270263671875,138.1376953125,0.05911798296250547,0.007552222148187633,mstid,0
2017-11-01 20:00:00,13.426967981052655,12.96204645074804,0.0,True,15586.0,0.655976430976431,20.753269165108023,19.430086135864258,23760.0,9.445991189618656,1027.6431884765625,84.4538345336914,0.0659337346642219,0.005418570161278802,mstid,0
2017-11-01 22:00:00,15.42704788714039,14.9142879379606,0.19714476699770817,True,12640.0,0.5984848484848485,20.923868568411358,19.601628303527832,21120.0,9.42355057672935,,,,,None,1
2017-11-02 00:00:00,17.427098979824155,16.900592424448302,0.9846447669977082,True,4799.0,0.14542424242424243,12.058519108614888,11.169756889343262,33000.0,5.359298174593223,,,,,None,1
2017-11-02 14:00:00,7.426973300150835,7.284128994041575,0.0,True,14719.0,0.6559269162210338,20.078170141534592,18.90388298034668,22440.0,8.594501174560937,1272.9261474609375,329.7368469238281,0.0864818362294271,0.022402122897196012,mstid,0
2017-11-02 16:00:00,9.42702507492121,9.167363644620476,0.0,True,17275.0,0.7270622895622896,20.894168182344064,19.931142807006836,23760.0,8.70058235808607,1208.0352783203125,264.8459777832031,0.0699296832602207,0.015331170928115955,mstid,0
2017-11-02 18:00:00,11.427097147814887,11.031900436028769,0.0,True,20121.0,0.762159090909091,21.373446003049146,20.55930519104004,26400.0,8.877990923885031,1161.259521484375,218.0701904296875,0.057713807538610155,0.01083793998457768,mstid,0
