# SuperDARN MSTID Index Datafile
# Generated by Nathaniel Frissell, nathaniel.frissell@scranton.edu
# Generated on: 2023-04-22 21:24:00.301528 UTC
#
# Parameter: meanSubIntSpect_by_rtiCnt
#
# {'season': '20121101_20130501', 'radar': 'pgr', 'lat': 58.0, 'lon': -123.5}
# {'season': '20121101_20130501', 'radar': 'sas', 'lat': 56.1, 'lon': -103.8}
# {'season': '20121101_20130501', 'radar': 'kap', 'lat': 55.5, 'lon': -85.0}
# {'season': '20121101_20130501', 'radar': 'gbr', 'lat': 58.4, 'lon': -59.9}
# {'season': '20121101_20130501', 'radar': 'cvw', 'lat': 47.9, 'lon': -123.4}
# {'season': '20121101_20130501', 'radar': 'cve', 'lat': 46.4, 'lon': -114.6}
# {'season': '20121101_20130501', 'radar': 'fhw', 'lat': 43.3, 'lon': -102.7}
# {'season': '20121101_20130501', 'radar': 'fhe', 'lat': 42.5, 'lon': -95.0}
# {'season': '20121101_20130501', 'radar': 'bks', 'lat': 39.6, 'lon': -81.1}
# {'season': '20121101_20130501', 'radar': 'wal', 'lat': 41.8, 'lon': -72.2}
#
datetime,pgr,sas,cvw,cve,fhw,fhe,kap,gbr,bks,wal
2012-11-01 00:00:00,,,,,,,,,,
2012-11-01 10:00:00,,,,,,,,,,
2012-11-01 12:00:00,,,,,,,,,,0.018312827597930705
2012-11-01 14:00:00,,,,,,-0.024075773040039772,,,,0.019071059112184256
2012-11-01 16:00:00,,,,-0.09214492000249985,,,,,-0.012871179664344118,0.000707272332302755
2012-11-01 18:00:00,-0.034830906080163045,0.005984268001481599,,,,-0.011491830163545977,,,0.0030932136333304897,0.006692680689970924
2012-11-01 20:00:00,-0.01260647033166856,0.009163545609032273,,,,-0.011335134314073065,,,,
2012-11-01 22:00:00,,,,,,,,,,
2012-11-02 00:00:00,,,,,,,,,,
2012-11-02 10:00:00,,,,,,,,,,
2012-11-02 12:00:00,,,,,,,,,,0.004447926807841666
2012-11-02 14:00:00,,,,,,0.01885300890861158,,,0.028818263734325385,0.008494487458974697
2012-11-02 16:00:00,,0.0034061781835729847,0.015192226348847752,0.01045313887790544,0.004765113265375872,0.009984392355130215,-0.003155689495230457,,-0.0019614480921135093,0.0056288585417670145
2012-11-02 18:00:00,0.008351358989502176,-0.0017953215307202647,0.009897683561926494,0.0097553112725812,0.009354309284700237,0.00741405056100293,-0.0011738341310953287,,-0.011643151126299286,0.009465912018606358
2012-11-02 20:00:00,0.009294777795155385,0.0017543170118578975,0.0013388180988182711,-0.00635935970084377,0.00271751657287067,0.006448071434735829,,,,
2012-11-02 22:00:00,,,-0.004051542059911489,,,,,,,
2012-11-03 00:00:00,,,,,,,,,,
2012-11-03 10:00:00,,,,,,,,,,
2012-11-03 12:00:00,,,,,,,,,,0.008040444846148694
2012-11-03 14:00:00,,,,,0.02072850617630868,0.008950678363443414,0.004014710924803824,,0.016553684559455942,-0.004565695246168338
